Date	EPS
March 31, 2003	1.05
June 30, 2003	0.62
Sept. 30, 2003	0.55
Dec. 31, 2003	1.013
March 31, 2004	0.83
June 30, 2004	0.88
Sept. 30, 2004	0.88
Dec. 31, 2004	1.304
March 31, 2005	1.22
June 30, 2005	1.20
Sept. 30, 2005	1.58
Dec. 31, 2005	1.715
March 31, 2006	1.37
June 30, 2006	1.72
Sept. 30, 2006	1.77
Dec. 31, 2006	1.764
March 31, 2007	1.62
June 30, 2007	1.83
Sept. 30, 2007	1.70
Dec. 31, 2007	2.100
March 31, 2008	2.02
June 30, 2008	2.22
Sept. 30, 2008	2.85
Dec. 31, 2008	1.553
March 31, 2009	0.92
June 30, 2009	0.81
Sept. 30, 2009	0.98
Dec. 31, 2009	1.272
March 31, 2010	1.33
June 30, 2010	1.60
Sept. 30, 2010	1.44
Dec. 31, 2010	1.837
March 31, 2011	2.14
June 30, 2011	2.18
Sept. 30, 2011	2.13
Dec. 31, 2011	1.968
March 31, 2012	2.00
June 30, 2012	3.41
Sept. 30, 2012	2.09
Dec. 31, 2012	2.191
March 31, 2013	2.12
June 30, 2013	1.55
Sept. 30, 2013	1.79
Dec. 31, 2013	1.914
March 31, 2014	2.10
June 30, 2014	2.05
Sept. 30, 2014	1.89
Dec. 31, 2014	1.551
March 31, 2015	1.17
June 30, 2015	1.00
