Date	EPS
March 31, 2003	0.04
June 30, 2003	0.04
Sept. 30, 2003	0.05
Dec. 31, 2003	0.0507
March 31, 2004	0.07
June 30, 2004	0.08
Sept. 30, 2004	0.17
Dec. 31, 2004	0.2525
March 31, 2005	0.14
June 30, 2005	0.51
Sept. 30, 2005	0.17
Dec. 31, 2005	0.4573
March 31, 2006	0.11
June 30, 2006	0.11
Sept. 30, 2006	0.11
Dec. 31, 2006	0.1898
March 31, 2007	0.10
June 30, 2007	0.11
Sept. 30, 2007	0.11
Dec. 31, 2007	0.1458
March 31, 2008	0.37
June 30, 2008	0.09
Sept. 30, 2008	0.04
Dec. 31, 2008	-0.2186
March 31, 2009	0.08
June 30, 2009	0.10
Sept. 30, 2009	0.13
Dec. 31, 2009	0.1079
March 31, 2010	0.22
June 30, 2010	0.15
Sept. 30, 2010	0.29
Dec. 31, 2010	0.2379
March 31, 2011	0.17
June 30, 2011	0.18
Sept. 30, 2011	0.23
Dec. 31, 2011	0.2382
March 31, 2012	0.23
June 30, 2012	0.18
Sept. 30, 2012	2.64
Dec. 31, 2012	0.233
March 31, 2013	0.35
June 30, 2013	0.30
Sept. 30, 2013	0.28
Dec. 31, 2013	0.3352
March 31, 2014	0.29
June 30, 2014	0.26
Sept. 30, 2014	6.70
Dec. 31, 2014	0.1728
March 31, 2015	0.02
June 30, 2015	-0.023
