Date	fcf
Sept. 30, 2003	15.00M
Dec. 31, 2003	175.00M
March 31, 2004	26.00M
June 30, 2004	173.00M
Sept. 30, 2004	384.00M
Dec. 31, 2004	717.00M
March 31, 2005	493.00M
June 30, 2005	409.00M
Sept. 30, 2005	656.00M
Dec. 31, 2005	201.00M
March 31, 2006	-318.00M
June 30, 2006	770.00M
Sept. 30, 2006	910.00M
Dec. 31, 2006	1.556B
March 31, 2007	528.00M
June 30, 2007	938.00M
Sept. 30, 2007	1.462B
Dec. 31, 2007	2.555B
March 31, 2008	978.00M
June 30, 2008	991.00M
Sept. 30, 2008	3.873B
Dec. 31, 2008	3.585B
March 31, 2009	725.00M
June 30, 2009	1.998B
Sept. 30, 2009	2.638B
Dec. 31, 2009	5.40B
March 31, 2010	2.029B
June 30, 2010	4.175B
Sept. 30, 2010	4.87B
Dec. 31, 2010	8.51B
March 31, 2011	5.563B
June 30, 2011	10.15B
Sept. 30, 2011	5.858B
Dec. 31, 2011	16.12B
March 31, 2012	12.47B
June 30, 2012	7.226B
Sept. 30, 2012	5.635B
Dec. 31, 2012	20.97B
March 31, 2013	10.20B
June 30, 2013	5.812B
Sept. 30, 2013	7.602B
Dec. 31, 2013	20.63B
March 31, 2014	12.05B
June 30, 2014	7.824B
Sept. 30, 2014	9.398B
Dec. 31, 2014	30.46B
March 31, 2015	16.60B
June 30, 2015	12.90B
Sept. 30, 2015	9.817B
Dec. 31, 2015	23.46B
