Date	fcf
March 31, 2003	-258.18M
June 30, 2003	118.88M
Sept. 30, 2003	21.62M
Dec. 31, 2003	463.73M
March 31, 2004	-260.20M
June 30, 2004	128.20M
Sept. 30, 2004	89.00M
Dec. 31, 2004	520.00M
March 31, 2005	-320.00M
June 30, 2005	197.00M
Sept. 30, 2005	77.00M
Dec. 31, 2005	575.00M
March 31, 2006	-349.00M
June 30, 2006	72.00M
Sept. 30, 2006	69.00M
Dec. 31, 2006	694.00M
March 31, 2007	-313.00M
June 30, 2007	251.00M
Sept. 30, 2007	168.00M
Dec. 31, 2007	1.075B
March 31, 2008	-706.00M
June 30, 2008	278.00M
Sept. 30, 2008	323.00M
Dec. 31, 2008	1.469B
March 31, 2009	-640.00M
June 30, 2009	390.00M
Sept. 30, 2009	696.00M
Dec. 31, 2009	2.474B
March 31, 2010	-1.238B
June 30, 2010	54.00M
Sept. 30, 2010	540.00M
Dec. 31, 2010	3.16B
March 31, 2011	-1.884B
June 30, 2011	-10.00M
Sept. 30, 2011	267.00M
Dec. 31, 2011	3.719B
March 31, 2012	-2.824B
June 30, 2012	-63.00M
Sept. 30, 2012	227.00M
Dec. 31, 2012	3.055B
March 31, 2013	-3.042B
June 30, 2013	24.00M
Sept. 30, 2013	350.00M
Dec. 31, 2013	4.699B
March 31, 2014	-3.582B
June 30, 2014	-428.00M
Sept. 30, 2014	389.00M
Dec. 31, 2014	5.57B
March 31, 2015	-2.37B
June 30, 2015	784.00M
