Date	fcf
March 31, 2003	36.99M
June 30, 2003	-29.37M
Sept. 30, 2003	-30.94M
Dec. 31, 2003	97.18M
March 31, 2004	18.55M
June 30, 2004	-54.02M
Sept. 30, 2004	60.28M
Dec. 31, 2004	82.08M
March 31, 2005	112.02M
June 30, 2005	-59.71M
Sept. 30, 2005	-47.28M
Dec. 31, 2005	2.885M
March 31, 2006	159.71M
June 30, 2006	-106.30M
Sept. 30, 2006	-70.51M
Dec. 31, 2006	38.29M
March 31, 2007	147.75M
June 30, 2007	-0.842M
Sept. 30, 2007	31.99M
Dec. 31, 2007	178.01M
March 31, 2008	334.94M
June 30, 2008	-236.21M
March 31, 2009	317.00M
June 30, 2009	-132.00M
Sept. 30, 2009	144.00M
Dec. 31, 2009	785.00M
March 31, 2010	215.00M
June 30, 2010	-53.00M
Sept. 30, 2010	145.00M
Dec. 31, 2010	972.00M
March 31, 2011	130.00M
June 30, 2011	-92.00M
Sept. 30, 2011	17.00M
Dec. 31, 2011	825.00M
March 31, 2012	144.00M
June 30, 2012	75.00M
Sept. 30, 2012	104.00M
Dec. 31, 2012	949.00M
March 31, 2013	308.00M
June 30, 2013	90.00M
Sept. 30, 2013	-72.00M
Dec. 31, 2013	864.00M
March 31, 2014	99.00M
June 30, 2014	81.00M
Sept. 30, 2014	-173.00M
Dec. 31, 2014	1.178B
March 31, 2015	188.00M
June 30, 2015	107.00M
