Date	fcf
March 31, 2003	146.10M
June 30, 2003	22.60M
Sept. 30, 2003	168.38M
Dec. 31, 2003	171.65M
March 31, 2004	295.33M
June 30, 2004	197.45M
Sept. 30, 2004	201.38M
Dec. 31, 2004	298.32M
March 31, 2005	415.84M
June 30, 2005	406.05M
Sept. 30, 2005	421.23M
Dec. 31, 2005	428.49M
March 31, 2006	450.63M
June 30, 2006	367.08M
Sept. 30, 2006	385.25M
Dec. 31, 2006	529.39M
March 31, 2007	479.08M
June 30, 2007	533.26M
Sept. 30, 2007	510.19M
Dec. 31, 2007	664.61M
March 31, 2008	631.60M
June 30, 2008	616.94M
Sept. 30, 2008	542.77M
Dec. 31, 2008	524.79M
March 31, 2009	577.59M
June 30, 2009	602.26M
Sept. 30, 2009	563.47M
Dec. 31, 2009	597.66M
March 31, 2010	266.01M
June 30, 2010	519.18M
Sept. 30, 2010	580.13M
Dec. 31, 2010	656.69M
March 31, 2011	551.00M
June 30, 2011	543.00M
Sept. 30, 2011	525.00M
Dec. 31, 2011	692.00M
March 31, 2012	289.00M
June 30, 2012	411.00M
Sept. 30, 2012	792.00M
Dec. 31, 2012	1.089B
March 31, 2013	638.00M
June 30, 2013	658.00M
Sept. 30, 2013	1.017B
Dec. 31, 2013	1.432B
March 31, 2014	968.00M
June 30, 2014	1.279B
Sept. 30, 2014	887.00M
Dec. 31, 2014	1.272B
March 31, 2015	829.00M
June 30, 2015	758.00M
