Date	fcf
March 31, 2003	29.77M
June 30, 2003	401.10M
Sept. 30, 2003	312.59M
Dec. 31, 2003	409.23M
March 31, 2004	336.38M
June 30, 2004	373.81M
Sept. 30, 2004	483.14M
Dec. 31, 2004	537.50M
March 31, 2005	502.14M
June 30, 2005	273.03M
Sept. 30, 2005	425.12M
Dec. 31, 2005	414.86M
March 31, 2006	427.78M
June 30, 2006	189.23M
Sept. 30, 2006	211.82M
Dec. 31, 2006	400.60M
March 31, 2007	586.24M
June 30, 2007	421.76M
Sept. 30, 2007	475.09M
Dec. 31, 2007	712.44M
March 31, 2008	717.46M
June 30, 2008	374.11M
Sept. 30, 2008	707.26M
Dec. 31, 2008	775.38M
March 31, 2009	680.74M
June 30, 2009	400.05M
Sept. 30, 2009	744.91M
Dec. 31, 2009	792.58M
March 31, 2010	1.110B
June 30, 2010	477.24M
Sept. 30, 2010	634.87M
Dec. 31, 2010	1.218B
March 31, 2011	857.26M
June 30, 2011	530.10M
Sept. 30, 2011	1.003B
Dec. 31, 2011	1.884B
March 31, 2012	1.429B
June 30, 2012	957.29M
Sept. 30, 2012	1.138B
Dec. 31, 2012	1.50B
March 31, 2013	1.442B
June 30, 2013	843.00M
Sept. 30, 2013	1.433B
Dec. 31, 2013	1.797B
March 31, 2014	946.00M
June 30, 2014	929.00M
Sept. 30, 2014	1.342B
Dec. 31, 2014	1.818B
March 31, 2015	755.00M
June 30, 2015	647.00M
