Date	fcf
March 31, 2003	3.987B
June 30, 2003	2.416B
Sept. 30, 2003	3.257B
Dec. 31, 2003	4.402B
March 31, 2004	4.757B
June 30, 2004	1.101B
Sept. 30, 2004	3.834B
Dec. 31, 2004	3.443B
March 31, 2005	4.80B
June 30, 2005	3.716B
Sept. 30, 2005	4.116B
Dec. 31, 2005	1.913B
March 31, 2006	4.261B
June 30, 2006	2.536B
Sept. 30, 2006	3.65B
Dec. 31, 2006	1.47B
March 31, 2007	6.83B
June 30, 2007	3.582B
Sept. 30, 2007	5.368B
Dec. 31, 2007	3.872B
March 31, 2008	6.323B
June 30, 2008	2.867B
Sept. 30, 2008	2.592B
Dec. 31, 2008	4.94B
March 31, 2009	5.412B
June 30, 2009	2.974B
Sept. 30, 2009	5.672B
Dec. 31, 2009	4.593B
March 31, 2010	6.985B
June 30, 2010	4.846B
Sept. 30, 2010	7.63B
Dec. 31, 2010	3.695B
March 31, 2011	8.014B
June 30, 2011	5.30B
Sept. 30, 2011	8.057B
Dec. 31, 2011	5.364B
March 31, 2012	8.845B
June 30, 2012	7.055B
Sept. 30, 2012	7.881B
Dec. 31, 2012	3.85B
March 31, 2013	8.736B
June 30, 2013	4.109B
Sept. 30, 2013	6.974B
Dec. 31, 2013	2.681B
March 31, 2014	8.907B
June 30, 2014	8.184B
Sept. 30, 2014	7.072B
Dec. 31, 2014	2.85B
March 31, 2015	8.179B
June 30, 2015	5.035B
