Date	fcf
March 31, 2007	81.64M
June 30, 2007	49.42M
Sept. 30, 2007	1.08M
Dec. 31, 2007	103.60M
March 31, 2008	79.99M
June 30, 2008	86.96M
Sept. 30, 2008	172.88M
Dec. 31, 2008	177.80M
March 31, 2009	193.48M
June 30, 2009	198.73M
Sept. 30, 2009	176.28M
Dec. 31, 2009	245.14M
March 31, 2010	301.98M
June 30, 2010	167.82M
Sept. 30, 2010	158.54M
Dec. 31, 2010	350.21M
March 31, 2011	423.45M
June 30, 2011	342.17M
Sept. 30, 2011	447.42M
Dec. 31, 2011	357.42M
March 31, 2012	542.93M
June 30, 2012	346.97M
Sept. 30, 2012	361.10M
Dec. 31, 2012	412.00M
March 31, 2013	598.00M
June 30, 2013	459.00M
Sept. 30, 2013	544.00M
Dec. 31, 2013	589.00M
March 31, 2014	673.00M
June 30, 2014	333.00M
Sept. 30, 2014	505.00M
Dec. 31, 2014	317.00M
March 31, 2015	577.00M
June 30, 2015	238.00M
