Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-09-01	13,931	29.0	1,650	11.8	1,335	0.22	?	?	5,997	1.28	2,535	-260	2,275	0.38	6,816
2006-09-01	19,315	29.0	2,453	12.7	1,989	0.32	?	?	6,143	1.56	2,220	-657	1,563	0.21	8,038
2007-09-01	24,006	34.0	4,409	18.4	3,496	0.56	?	?	6,225	2.20	5,470	-986	4,484	0.63	12,657
2008-09-01	32,479	34.3	6,275	19.3	4,834	0.77	?	?	6,315	3.39	9,596	-1,199	8,397	1.33	20,598
2009-09-01	42,905	40.1	11,740	27.4	8,235	1.30	?	?	6,349	5.02	10,159	-1,213	8,946	1.41	20,049
2010-09-01	65,225	39.4	18,385	28.2	14,013	2.16	?	?	6,473	7.45	18,595	-2,121	16,474	2.55	20,956
2011-09-01	108,249	40.5	33,790	31.2	25,922	3.95	?	?	6,557	11.78	37,529	-7,452	30,077	4.59	17,018
2012-09-01	156,508	43.9	55,241	35.3	41,733	6.31	0.38	?	6,617	17.00	50,856	-9,402	41,454	6.31	19,111
2013-09-01	170,910	37.6	48,999	28.7	37,037	5.68	1.63	27.4	6,522	19.60	53,666	-9,076	44,590	6.47	29,628
2014-09-01	182,795	38.6	52,503	28.7	39,510	6.45	1.81	28.7	6,123	20.62	59,713	-9,813	49,900	7.73	5,083
2015-09-01	224,337	39.7	67,772	30.2	50,737	8.65	1.93	22.3	5,865	22.04	81,041	-11,682	69,359	?	?
