Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	5,848	40.9	232	4.0	165	0.40	?	?	441	6.83	1,483	-1,513	-30	-0.89	1,737
2006-12-01	5,649	49.4	-47	-0.8	-166	-0.34	?	?	492	9.16	1,287	-1,857	-570	0.07	1,111
2007-12-01	6,013	37.6	-2,865	-47.6	-3,379	-6.06	?	?	558	4.93	-310	-1,685	-1,995	-3.58	1,191
2008-12-01	5,808	39.9	-1,955	-33.7	-3,098	-5.10	?	?	607	-0.13	-692	-624	-1,316	-2.17	153
2009-12-01	5,403	42.1	664	12.3	376	0.45	?	?	678	0.97	473	-466	7	0.01	2,065
2010-12-01	6,494	45.6	848	13.1	471	0.64	?	?	733	1.48	-412	-148	-560	-0.76	1,920
2011-12-01	6,568	44.8	368	5.6	491	0.66	?	?	742	2.50	382	-250	132	-0.30	1,455
2012-12-01	5,422	22.8	-1,056	-19.5	-1,183	-1.60	?	?	741	0.75	-338	-133	-471	-0.64	868
2013-12-01	5,299	37.3	103	1.9	-83	-0.11	?	?	754	0.60	-148	-84	-232	-0.72	1,266
2014-12-01	5,506	33.4	-155	-2.8	-403	-0.53	?	?	768	0.69	-98	-95	-193	-0.38	1,296
2015-12-01	4,640	30.4	-541	-11.7	-708	-0.91	?	?	776	-0.18	-97	-90	-187	?	?
