Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	8,490	24.0	432	5.1	359	0.84	?	?	426	?	733	-204	529	?	1,000
2006-12-01	10,711	22.9	389	3.6	190	0.45	?	?	424	0.47	702	-216	486	0.86	841
2007-12-01	14,835	22.6	655	4.4	476	1.12	?	?	424	2.88	1,405	-224	1,181	2.79	1,450
2008-12-01	19,166	22.3	842	4.4	645	1.49	?	?	432	6.24	1,697	-333	1,364	3.16	1,411
2009-12-01	24,509	22.6	1,129	4.6	902	2.04	?	?	442	11.84	3,293	-373	2,920	6.61	2,433
2010-12-01	34,204	22.3	1,406	4.1	1,152	2.53	?	?	456	15.22	3,495	-979	2,516	5.52	3,375
2011-12-01	48,077	22.4	862	1.8	631	1.37	?	?	461	17.07	3,903	-1,811	2,092	3.33	2,594
2012-12-01	61,093	24.8	676	1.1	-39	-0.09	?	?	453	18.04	4,180	-3,785	395	0.87	2,294
2013-12-01	74,452	27.2	745	1.0	274	0.59	?	?	465	19.80	5,475	-3,444	2,031	0.84	1,645
2014-12-01	88,988	29.5	178	0.2	-241	-0.52	?	?	462	22.23	6,842	-4,893	1,949	2.33	3,238
2015-12-01	100,588	32.4	1,714	1.7	328	0.69	?	?	473	26.52	9,823	-4,425	5,398	?	?
