Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-03-01	1,468	35.9	18	1.2	42	0.07	?	?	599	?	86	-30	56	?	924
2007-03-01	1,513	35.4	73	4.8	86	0.14	?	?	611	?	27	-18	9	?	1,060
2008-03-01	2,898	43.2	480	16.5	345	0.55	?	?	629	?	574	-29	544	?	1,423
2008-12-01	3,026	39.2	-233	-7.7	-107	-0.11	?	?	946	8.70	379	-46	333	0.35	3,175
2009-12-01	4,279	46.1	-26	-0.6	113	0.09	?	?	1,311	8.60	1,183	-69	1,114	0.85	2,822
2010-12-01	4,447	52.2	469	10.5	418	0.33	0.15	44.4	1,236	8.62	1,376	-97	1,279	1.03	2,478
2011-12-01	4,755	63.1	1,328	27.9	1,085	0.92	0.17	25.7	1,156	9.33	952	-72	880	0.88	2,824
2012-12-01	4,856	65.8	1,451	29.9	1,149	1.01	0.18	17.5	1,118	10.18	1,345	-73	1,272	1.14	3,622
2013-12-01	4,583	66.6	1,372	29.9	1,010	0.95	0.19	17.9	1,035	17.25	1,264	-74	1,190	1.13	3,836
2014-12-01	4,408	65.4	1,183	26.8	835	1.13	0.20	22.7	726	9.69	1,292	-107	1,185	1.19	4,195
2015-12-01	4,649	65.7	1,320	28.4	944	1.29	0.23	17.8	732	10.70	1,394	-94	1,300	?	?
