Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-10-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-10-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-10-01	1,527	23.7	-105	-6.9	-159	-0.74	?	?	214	?	146	-37	109	?	396
2008-10-01	1,699	38.6	160	9.4	83	0.38	?	?	219	?	208	-71	137	?	291
2009-10-01	1,484	37.7	48	3.2	-44	-0.20	?	?	219	?	139	-58	81	0.71	231
2010-10-01	2,093	46.2	466	22.3	415	1.69	?	?	246	5.56	510	-79	431	1.11	522
2011-10-01	2,336	49.1	584	25.0	552	2.19	0.35	16.0	252	8.16	726	-112	614	2.44	1,043
2012-10-01	2,364	48.3	582	24.6	563	2.25	0.56	24.9	250	9.85	693	-241	452	1.81	1,345
2013-10-01	2,520	47.5	552	21.9	552	2.19	0.80	33.9	252	11.01	722	-236	486	1.90	1,395
2014-10-01	4,269	44.0	438	10.3	263	0.99	1.13	79.4	267	12.25	1,175	-409	766	2.78	2,819
2015-10-01	6,108	46.7	958	15.7	666	2.38	1.34	54.0	280	15.64	1,839	-623	1,216	?	?
