Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-02-01	2,062	55.2	419	20.3	381	0.65	?	?	584	3.57	150	-202	-52	-0.09	976
2007-02-01	3,037	54.6	807	26.6	631	1.11	?	?	571	4.45	736	-314	421	0.74	1,372
2008-02-01	6,028	51.3	1,737	28.8	1,298	2.26	?	?	575	7.01	1,582	-728	853	1.48	2,009
2009-02-01	11,065	46.1	2,722	24.6	1,893	3.30	?	?	574	9.44	1,452	-1,521	-70	0.51	2,726
2010-02-01	14,953	44.0	3,238	21.7	2,457	4.31	?	?	570	12.24	3,035	-1,431	1,604	1.66	3,381
2011-02-01	19,907	44.3	4,636	23.3	3,411	6.34	?	?	538	17.06	4,009	-1,596	2,413	4.48	3,858
2012-02-01	18,435	35.7	1,490	8.1	1,164	2.22	?	?	524	19.58	2,912	-3,119	-207	-0.39	3,667
2013-02-01	11,073	31.0	-1,235	-11.2	-646	-1.23	?	?	524	17.82	2,303	-1,418	885	1.57	3,653
2014-02-01	6,813	-0.6	-7,163	-105.1	-5,873	-11.18	?	?	525	7.66	-159	-1,363	-1,522	-1.50	2,789
2015-02-01	3,335	48.1	-423	-12.7	-304	-0.58	?	?	528	6.31	813	-508	305	-1.30	2,804
2016-02-01	3,027	48.3	-354	-11.7	-259	-0.49	?	?	531	6.63	645	-362	283	?	?
