Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	2,671	52.6	337	12.6	412	0.73	?	?	561	5.43	447	-42	405	0.77	1,741
2006-12-01	3,668	51.0	244	6.6	379	0.64	?	?	588	7.37	892	-92	799	1.13	2,673
2007-12-01	3,776	51.5	85	2.3	213	0.37	?	?	578	7.51	832	-160	672	1.16	2,297
2008-12-01	4,658	52.5	172	3.7	215	0.41	?	?	524	7.38	920	-83	837	1.60	2,034
2009-12-01	4,490	50.8	56	1.2	65	0.13	?	?	513	7.85	987	-67	920	1.80	1,766
2010-12-01	6,818	51.8	1,082	15.9	1,082	1.99	0.32	16.1	545	10.82	1,371	-109	1,262	2.32	2,912
2011-12-01	7,389	50.9	953	12.9	927	1.65	0.36	21.1	563	11.31	1,838	-163	1,675	2.90	4,653
2012-12-01	8,006	49.7	676	8.4	719	1.25	0.40	32.0	576	13.78	1,931	-244	1,687	2.93	2,099
2013-12-01	8,305	50.8	472	5.7	424	0.73	0.44	49.6	584	13.63	1,785	?	1,785	3.01	2,419
2014-12-01	8,428	51.4	694	8.2	652	1.08	0.48	64.9	601	14.40	1,925	-262	1,663	2.76	3,522
2015-12-01	8,557	53.3	1,135	13.3	1,083	1.77	0.52	29.4	612	15.82	1,871	-277	1,594	?	?
