Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-08-01	52,935	12.4	1,474	2.8	1,063	2.18	0.43	19.7	492	18.80	1,783	-995	788	1.60	1,477
2006-08-01	60,151	12.3	1,626	2.7	1,103	2.30	0.49	21.3	480	19.78	1,827	-1,213	615	1.28	413
2007-08-01	64,400	12.3	1,609	2.5	1,083	2.37	0.55	23.2	458	19.73	2,076	-1,386	691	1.51	742
2008-08-01	72,483	12.4	1,969	2.7	1,283	2.89	0.61	21.0	444	21.08	2,176	-1,599	578	1.44	588
2009-08-01	71,422	12.7	1,777	2.5	1,086	2.47	0.68	27.6	440	22.98	2,092	-1,250	842	1.91	1,056
2010-08-01	77,946	12.8	2,077	2.7	1,303	2.92	0.77	26.4	446	24.98	2,780	-1,055	1,725	3.87	1,645
2011-08-01	88,915	12.6	2,439	2.7	1,462	3.30	0.89	27.0	443	27.64	3,198	-1,290	1,908	4.31	1,656
2012-08-01	99,137	12.4	2,759	2.8	1,709	3.89	1.03	26.5	439	28.59	3,057	-1,480	1,577	3.59	1,266
2013-08-01	105,156	12.6	3,053	2.9	2,039	4.63	1.17	24.6	441	23.98	3,437	-2,083	1,354	3.74	2,583
2014-08-01	112,640	12.6	3,220	2.9	2,058	4.65	1.33	28.8	442	27.00	3,984	-1,993	1,991	3.56	3,176
2015-08-01	115,944	12.9	3,559	3.1	2,307	5.21	1.47	28.1	443	24.09	4,099	-2,155	1,944	?	?
