Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-07-01	24,801	67.2	7,416	29.9	5,741	0.87	?	?	6,612	?	7,568	-692	6,876	?	3,520
2006-07-01	28,484	65.8	6,996	24.6	5,580	0.89	?	?	6,272	3.95	7,899	-772	7,127	1.14	14,363
2007-07-01	34,922	64.0	8,621	24.7	7,333	1.17	?	?	6,265	5.16	10,104	-1,251	8,853	1.41	18,216
2008-07-01	39,540	64.5	9,442	23.9	8,052	1.31	?	?	6,163	5.83	12,089	-1,268	10,821	1.76	21,841
2009-07-01	36,117	63.9	7,322	20.3	6,134	1.05	?	?	5,857	6.68	9,897	-1,005	8,892	1.52	30,522
2010-07-01	40,040	64.0	9,164	22.9	7,767	1.33	?	?	5,848	7.75	10,173	-1,008	9,165	1.37	32,188
2011-07-01	43,218	61.4	7,674	17.8	6,490	1.17	0.12	4.7	5,563	8.68	10,079	-1,174	8,905	1.64	39,725
2012-07-01	46,061	61.2	10,065	21.9	8,041	1.49	0.28	18.8	5,404	9.68	11,491	-1,126	10,365	1.92	44,202
2013-07-01	48,607	60.6	11,196	23.0	9,983	1.86	0.62	29.5	5,380	10.54	12,894	-1,160	11,734	2.03	43,329
2014-07-01	47,142	58.9	9,345	19.8	7,853	1.49	0.72	47.5	5,281	10.92	12,332	-1,275	11,057	2.14	47,305
2015-07-01	48,675	60.3	10,570	21.7	8,909	1.73	0.78	45.2	5,163	11.57	12,026	-1,232	10,794	?	?
