Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-03-01	2,951	60.0	325	11.0	236	0.75	?	?	314	11.17	596	-123	473	1.51	2,143
2007-03-01	3,091	60.8	39	1.3	76	0.24	?	?	317	12.45	397	-178	219	1.16	2,571
2008-03-01	3,665	50.8	-487	-13.3	-454	-1.45	?	?	314	13.64	338	-84	254	0.81	2,626
2009-03-01	4,212	49.5	-827	-19.6	-1,088	-3.40	?	?	320	9.74	12	-115	-103	-0.32	1,984
2010-03-01	3,654	48.9	-686	-18.8	-677	-2.08	?	?	325	8.27	152	-305	-153	-0.47	1,011
2011-03-01	3,589	58.2	-312	-8.7	-276	-0.84	?	?	330	7.70	320	-59	261	0.79	1,031
2012-03-01	4,143	61.4	35	0.8	76	0.23	?	?	336	7.08	277	-172	105	0.28	489
2013-03-01	3,797	63.4	121	3.2	98	0.31	?	?	313	6.48	324	-106	218	0.78	408
2014-03-01	3,575	62.3	33	0.9	8	0.03	?	?	316	6.44	712	-97	615	1.81	748
2015-03-01	4,515	68.3	948	21.0	875	2.69	?	?	325	8.67	1,067	-95	972	3.27	973
2016-02-29	4,515	68.3	948	21.0	875	2.69	?	?	325	9.65	1,067	-95	972	?	?
