Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	4,552	82.0	1,442	31.7	1,082	0.78	?	?	1,394	5.72	2,010	-338	1,672	1.11	1,698
2006-12-01	5,970	78.9	1,423	23.8	1,126	0.79	?	?	1,425	8.11	2,248	-515	1,732	1.14	2,452
2007-12-01	7,672	77.0	613	8.0	348	0.25	?	?	1,376	8.67	2,641	-454	2,187	1.59	4,023
2008-12-01	8,541	73.9	2,076	24.3	1,779	1.36	?	?	1,313	8.68	2,882	-566	2,316	1.76	2,582
2009-12-01	8,727	71.6	1,457	16.7	2,389	1.83	?	?	1,305	10.62	2,908	-567	2,341	1.79	4,818
2010-12-01	9,156	72.0	2,054	22.4	1,801	1.36	?	?	1,327	11.79	2,746	-724	2,022	1.52	6,549
2011-12-01	11,652	70.3	2,373	20.4	3,229	2.46	?	?	1,313	12.57	3,274	-963	2,310	1.73	5,927
2012-12-01	14,072	70.0	2,888	20.5	2,609	1.99	?	?	1,313	16.12	3,838	-1,257	2,581	1.97	10,474
2013-12-01	16,047	68.6	3,371	21.0	2,856	2.18	?	?	1,313	17.59	4,995	-1,250	3,745	2.59	10,644
2014-12-01	17,902	68.0	3,514	19.6	46	0.04	?	?	1,262	16.18	5,677	-1,271	4,406	3.59	9,000
2015-12-01	18,351	67.4	3,275	17.8	2,405	1.94	?	?	1,242	16.26	5,316	-1,570	3,746	?	?
