Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2011-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2012-12-01	75	67.2	-1	-1.8	-2	?	?	?	?	?	10	-14	-4	?	?
2013-12-01	125	61.8	1	0.6	-1	?	?	?	?	?	17	-17	-1	?	58
2014-12-01	196	62.4	-6	-3.2	-15	-0.16	?	?	94	?	12	-10	3	?	89
2015-12-01	214	63.0	-12	-5.4	-51	-0.46	?	?	?	0.49	15	-11	4	?	?
