Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	1,974	75.0	1,032	52.3	606	?	?	?	?	?	698	-293	405	?	1,857
2011-12-01	3,711	76.8	1,756	47.3	1,000	0.43	?	?	2,332	?	1,549	-606	943	?	3,705
2012-12-01	5,089	73.2	538	10.6	53	0.01	?	?	2,166	4.96	1,612	-1,235	377	0.17	10,215
2013-12-01	7,872	76.2	2,804	35.6	1,500	0.60	?	?	2,517	5.12	4,222	-1,362	2,860	0.99	11,970
2014-12-01	12,466	82.7	4,994	40.1	2,940	1.10	?	?	2,664	7.65	5,457	-1,831	3,626	1.27	12,246
2015-12-01	17,928	84.0	6,225	34.7	3,688	1.29	?	?	2,853	14.62	8,599	-2,523	6,076	1.76	19,727
2016-11-30	19,767	84.6	7,301	36.9	4,686	1.63	?	?	2,866	16.48	9,882	-3,153	6,729	?	?
