Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	6,139	58.1	2,017	32.9	1,465	2.51	?	?	583	?	2,459	-838	1,621	?	8,256
2006-12-01	10,605	60.2	3,550	33.5	3,077	4.97	?	?	618	23.54	3,581	-1,903	1,678	2.52	11,735
2007-12-01	16,594	59.9	5,084	30.6	4,204	6.65	?	?	632	36.30	5,775	-2,403	3,373	5.34	15,254
2008-12-01	21,796	60.4	6,632	30.4	4,227	6.66	?	?	634	44.90	7,853	-2,358	5,494	8.66	17,876
2009-12-01	23,651	62.6	8,312	35.1	6,520	10.21	?	?	788	56.71	9,316	-810	8,506	10.80	26,419
2010-12-01	29,321	64.5	10,381	35.4	8,505	13.17	?	?	646	72.03	11,081	-4,018	7,063	10.94	31,566
2011-12-01	37,905	65.2	11,742	31.0	9,737	14.89	?	?	654	84.46	14,565	-3,438	11,127	14.01	43,845
2012-12-01	50,175	58.9	12,760	25.4	10,737	16.17	?	?	645	108.77	16,619	-3,273	13,346	20.69	46,117
2013-12-01	59,825	56.8	13,966	23.3	12,920	19.08	?	?	677	123.68	18,659	-7,358	11,301	18.27	56,978
2014-12-01	66,001	61.1	16,496	25.0	14,444	21.02	?	?	687	145.08	22,376	-10,959	11,417	16.92	63,880
2015-12-01	71,763	62.5	18,379	25.6	16,408	23.08	?	?	688	169.02	25,973	-11,366	14,607	?	?
