Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2011-12-01	234	52.3	39	16.6	25	?	?	?	?	?	15	-2	13	?	?
2012-12-01	526	43.2	54	10.2	32	?	?	?	?	?	8	-18	-9	?	70
2013-12-01	986	36.7	99	10.0	61	0.47	?	?	129	?	102	-18	84	?	57
2014-12-01	1,394	45.0	187	13.4	128	0.92	?	?	124	2.72	97	-27	69	0.77	564
2015-12-01	1,697	46.3	256	15.1	189	1.10	?	?	156	5.89	222	-36	186	?	?
