Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	38,826	59.4	12,090	31.1	8,664	1.40	0.32	21.0	6,178	6.20	14,823	-5,818	9,005	1.56	11,960
2006-12-01	35,382	51.5	5,652	16.0	5,044	0.86	0.40	37.6	5,880	6.07	10,620	-5,779	4,841	0.70	9,766
2007-12-01	38,334	51.9	8,216	21.4	6,976	1.18	0.45	38.3	5,936	7.39	12,625	-5,000	7,625	1.28	15,314
2008-12-01	37,586	55.5	8,954	23.8	5,292	0.92	0.55	59.5	5,748	7.03	10,926	-5,197	5,729	1.00	12,053
2009-12-01	35,127	55.7	5,711	16.3	4,369	0.77	0.56	72.4	5,645	7.55	11,170	-4,515	6,655	1.18	13,566
2010-12-01	43,623	65.3	15,588	35.7	11,464	2.01	0.63	31.3	5,696	8.97	16,692	-5,207	11,485	2.02	22,284
2011-12-01	53,999	62.5	17,477	32.4	12,942	2.39	0.78	31.6	5,411	9.22	20,963	-10,764	10,199	1.83	13,844
2012-12-01	53,341	62.1	14,638	27.4	11,005	2.13	0.87	40.8	5,160	10.36	18,884	-11,027	7,857	1.52	18,460
2013-12-01	52,708	59.8	12,291	23.3	9,620	1.89	0.90	48.5	5,097	11.16	20,776	-10,747	10,029	2.16	18,516
2014-12-01	55,870	63.7	15,347	27.5	11,704	2.31	0.90	43.0	5,056	11.81	20,418	-10,197	10,221	1.91	11,711
2015-12-01	55,251	63.5	14,504	26.3	11,676	2.36	0.93	39.4	4,952	12.14	19,319	-8,472	10,847	?	?
