Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-06-01	1,502	50.9	391	26.0	299	2.10	?	?	142	?	426	-23	403	?	866
2006-06-01	1,642	50.4	406	24.7	336	2.34	?	?	144	9.85	361	-42	319	2.22	1,140
2007-06-01	2,567	50.8	779	30.3	686	4.85	?	?	142	13.89	824	-60	764	3.81	744
2008-06-01	2,475	47.4	509	20.6	439	3.47	?	?	127	14.21	590	-77	514	4.06	1,280
2009-06-01	1,116	34.8	-281	-25.2	-302	-2.41	?	?	126	11.48	-78	-44	-122	-0.97	855
2010-06-01	2,134	45.5	425	19.9	347	2.71	?	?	128	14.04	351	-36	315	2.46	1,198
2011-06-01	3,238	46.2	804	24.8	724	5.79	?	?	125	19.99	881	-127	754	6.03	2,593
2012-06-01	2,665	40.7	238	8.9	169	1.35	?	?	125	13.98	499	-107	392	4.04	2,988
2013-06-01	3,599	39.0	118	3.3	114	0.66	?	?	173	27.89	720	-161	559	2.96	2,389
2014-06-01	4,607	43.6	678	14.7	632	3.62	0.18	?	175	29.61	717	-146	572	2.92	3,202
2015-06-01	5,027	43.8	813	16.2	758	4.23	0.72	17.0	179	32.19	739	-177	562	?	?
