Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-06-01	44,282	82.7	16,472	37.2	12,599	1.20	0.34	28.4	10,531	3.99	14,404	-1,578	12,826	1.22	26,568
2007-06-01	51,122	79.1	18,524	36.2	14,065	1.42	0.39	27.5	9,886	3.73	17,796	-2,264	15,532	1.44	16,414
2008-06-01	60,420	80.8	22,492	37.2	17,681	1.87	0.43	23.0	9,470	3.97	21,612	-3,182	18,430	1.95	13,356
2009-06-01	58,437	79.2	20,363	34.8	14,569	1.62	0.50	30.9	8,996	4.44	19,037	-3,119	15,918	1.77	22,246
2010-06-01	62,484	80.2	24,098	38.6	18,760	2.10	0.52	24.7	8,927	5.33	24,073	-1,977	22,096	2.48	29,529
2011-06-01	69,943	77.7	27,161	38.8	23,150	2.69	0.61	22.6	8,593	6.82	26,994	-2,355	24,639	2.87	46,144
2012-06-01	73,723	76.2	21,763	29.5	16,978	2.00	0.76	26.3	8,506	8.19	31,626	-2,305	29,321	3.24	52,396
2013-06-01	77,849	74.0	26,764	34.4	21,863	2.58	0.89	44.5	8,470	9.21	28,833	-4,257	24,576	3.24	64,049
2014-06-01	86,833	69.0	27,759	32.0	22,074	2.63	1.07	38.3	8,399	10.61	32,231	-5,485	26,746	2.69	68,621
2015-06-01	93,580	64.7	18,161	19.4	12,193	1.48	1.21	49.0	8,254	11.23	29,080	-5,944	23,136	3.16	74,854
2016-05-31	93,580	64.7	18,161	19.4	12,193	1.48	1.21	81.9	8,254	10.01	29,080	-5,944	23,136	?	?
