Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-08-01	4,880	23.5	218	4.5	188	0.29	?	?	702	9.49	1,238	-1,065	173	0.25	1,947
2006-08-01	5,272	22.8	350	6.6	408	0.57	?	?	725	10.83	2,019	-1,365	654	0.90	3,440
2007-08-01	5,688	19.0	-280	-4.9	-320	-0.42	?	?	769	10.23	937	-3,603	-2,666	-3.47	3,208
2008-08-01	5,841	-0.9	-1,595	-27.3	-1,619	-2.10	?	?	773	8.55	1,018	-2,529	-1,511	-2.13	2,181
2009-08-01	4,803	-9.1	-1,675	-34.9	-1,835	-2.29	?	?	801	5.50	1,206	-488	718	0.90	1,452
2010-08-01	8,482	32.0	1,589	18.7	1,850	1.85	?	?	1,051	8.07	3,096	-616	2,480	2.36	3,631
2011-08-01	8,788	20.0	755	8.6	167	0.17	?	?	1,008	8.44	2,484	-2,550	-66	-0.07	3,352
2012-08-01	8,234	11.8	-618	-7.5	-1,032	-1.04	?	?	991	7.57	2,114	-1,699	415	0.42	3,515
2013-08-01	9,073	20.4	236	2.6	1,190	1.13	?	?	1,056	7.02	1,811	-1,244	567	0.24	4,786
2014-08-01	16,358	33.2	3,087	18.9	3,045	2.54	?	?	1,198	9.26	5,699	-2,658	3,041	2.75	5,434
2015-08-01	16,819	33.5	3,399	20.2	3,578	3.01	?	?	1,190	11.50	5,525	-3,114	2,411	?	?
