Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-06-01	1,672	72.3	781	46.7	541	1.58	0.38	?	343	?	699	-132	567	?	1,689
2006-06-01	1,857	65.6	525	28.3	388	1.14	0.48	41.7	339	8.65	619	-201	418	1.23	1,558
2007-06-01	2,009	60.5	352	17.5	286	0.87	0.62	67.8	330	9.50	617	-402	215	0.85	1,616
2008-06-01	2,053	60.3	426	20.8	318	0.98	0.75	76.5	326	9.82	519	-216	304	0.93	1,627
2009-06-01	1,646	51.6	17	1.1	10	0.03	0.80	?	311	8.48	446	-135	310	1.00	1,316
2010-06-01	1,998	59.7	292	14.6	125	0.40	0.80	198.2	310	7.82	491	-124	367	1.18	1,174
2011-06-01	2,472	61.9	673	27.2	489	1.61	0.84	52.1	303	8.49	861	-175	686	2.26	1,314
2012-06-01	2,404	60.4	535	22.3	387	1.29	0.88	71.0	300	8.55	757	-264	492	1.91	944
2013-06-01	2,441	61.3	588	24.1	455	1.52	0.96	63.3	299	9.08	818	-217	601	1.84	1,535
2014-06-01	2,454	56.4	422	17.2	355	1.23	1.04	76.4	289	8.44	776	-133	644	2.05	1,688
2015-06-01	2,367	56.5	259	10.9	192	0.67	1.10	165.3	289	7.94	706	-84	622	?	?
