Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	682	31.9	3	0.4	42	0.09	?	?	459	?	163	-31	132	?	106
2006-12-01	997	37.1	64	6.5	49	0.10	?	?	484	0.81	248	-197	50	0.35	235
2007-12-01	1,205	34.8	91	7.6	67	0.14	?	?	482	0.95	292	-45	247	0.51	204
2008-12-01	1,365	33.3	122	8.9	83	0.19	?	?	440	0.85	284	-208	76	0.17	145
2009-12-01	1,670	35.4	192	11.5	116	0.28	?	?	409	0.53	325	-46	279	0.68	185
2010-12-01	2,163	37.2	284	13.1	161	0.42	?	?	380	0.79	276	-158	118	0.31	252
2011-12-01	3,205	36.3	376	11.7	226	0.59	?	?	381	1.00	318	-135	183	0.53	606
2012-12-01	3,609	27.2	50	1.4	17	0.04	?	?	412	1.91	23	-90	-67	-0.16	565
2013-12-01	4,375	29.5	228	5.2	112	0.26	?	?	425	2.89	98	-120	-22	-0.19	905
2014-12-01	5,505	31.8	403	7.3	267	0.62	?	?	432	4.08	16	-145	-128	-0.11	1,277
2015-12-01	6,441	32.4	311	4.8	163	0.37	?	?	435	5.06	-543	-174	-718	?	?
