Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-04-01	2,066	60.8	308	14.9	266	0.69	?	?	388	4.93	554	-133	421	0.97	1,116
2007-04-01	2,804	60.8	301	10.7	298	0.77	?	?	388	5.42	864	-166	699	1.80	1,053
2008-04-01	3,303	61.0	314	9.5	310	0.86	?	?	361	4.98	1,009	-188	821	2.27	653
2009-04-01	3,406	58.4	47	1.4	87	0.26	?	?	335	5.03	889	-290	600	1.79	1,759
2010-04-01	3,931	64.1	488	12.4	400	1.13	?	?	353	7.29	975	-136	839	2.38	2,626
2011-04-01	5,123	65.0	824	16.1	673	1.71	?	?	394	9.52	1,346	-223	1,124	3.10	2,992
2012-04-01	6,233	59.6	747	12.0	605	1.58	?	?	384	11.78	1,463	-407	1,056	2.75	3,307
2013-04-01	6,332	59.4	608	9.6	505	1.37	?	?	368	12.97	1,386	-303	1,083	3.09	4,588
2014-04-01	6,325	62.0	734	11.6	638	1.83	0.60	26.1	348	12.07	1,350	-221	1,128	3.39	3,777
2015-04-01	6,123	62.6	717	11.7	560	1.75	0.66	33.9	321	11.46	1,268	-175	1,093	3.21	4,064
2016-03-31	6,123	62.6	717	11.7	560	1.75	0.66	37.8	321	11.19	1,268	-175	1,093	?	?
