Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-01-01	2,376	38.3	340	14.3	303	0.55	?	?	549	2.84	446	-80	367	0.67	1,110
2007-01-01	3,069	42.4	453	14.8	449	0.77	?	?	587	3.71	587	-145	442	0.75	1,393
2008-01-01	4,098	45.6	836	20.4	798	1.31	?	?	607	4.70	1,270	-188	1,082	1.78	1,922
2009-01-01	3,425	34.3	-71	-2.1	-30	-0.05	?	?	548	4.63	249	-408	-158	0.15	1,389
2010-01-01	3,326	35.4	-99	-3.0	-68	-0.12	?	?	550	4.32	488	-78	410	0.55	1,696
2011-01-01	3,543	39.8	256	7.2	253	0.43	?	?	589	5.41	676	-98	578	0.98	2,284
2012-01-01	3,998	51.4	648	16.2	581	0.94	?	?	616	6.77	909	-139	770	1.25	2,975
2013-01-01	4,280	52.0	648	15.1	563	0.90	0.08	?	625	7.66	824	-183	641	0.97	3,799
2014-01-01	4,130	54.9	496	12.0	440	0.74	0.31	38.9	595	7.61	835	-255	580	1.07	4,679
2015-01-01	4,682	55.5	759	16.2	631	1.12	0.34	33.1	563	7.72	906	-122	783	1.24	4,817
2016-01-01	4,730	56.0	784	16.6	628	1.12	0.34	30.5	563	8.47	1,001	-123	877	?	?
