Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	5,443	22.4	-2,646	-48.6	-3,600	-19.98	?	?	180	?	-622	-415	-1,037	?	952
2009-12-01	3,843	25.2	-900	-23.4	-175	-0.81	?	?	215	?	-745	-104	-849	?	260
2010-12-01	4,402	41.4	273	6.2	-456	-1.77	?	?	229	3.93	369	-265	104	0.45	388
2011-12-01	4,194	45.4	357	8.5	390	1.57	?	?	249	5.39	195	-231	-36	0.43	917
2012-12-01	4,358	45.6	412	9.5	-115	-0.46	?	?	248	4.17	722	-280	442	1.78	458
2013-12-01	4,815	45.2	651	13.5	348	1.36	?	?	255	4.77	891	-250	641	2.06	899
2014-12-01	5,647	46.8	1,049	18.6	539	2.17	?	?	249	2.33	1,468	-365	1,103	3.58	1,320
2015-12-01	6,025	47.2	1,244	20.6	463	1.90	?	?	244	2.80	1,672	-384	1,288	?	?
