Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-09-01	5,673	71.0	2,386	42.1	2,143	1.26	0.32	25.4	1,694	6.78	2,686	-576	2,110	1.25	6,721
2006-09-01	7,526	71.0	2,690	35.7	2,470	1.44	0.42	27.8	1,711	7.87	3,253	-685	2,568	1.49	5,627
2007-09-01	8,871	69.8	2,883	32.5	3,303	1.95	0.52	30.4	1,693	9.74	3,811	-818	2,993	1.78	6,563
2008-09-01	11,142	69.4	3,730	33.5	3,160	1.90	0.60	31.5	1,660	10.84	3,558	-1,397	2,161	1.30	9,432
2009-09-01	10,416	69.5	2,226	21.4	1,592	0.95	0.66	69.4	1,673	12.17	7,172	-761	6,411	3.83	9,757
2010-09-01	10,991	68.0	3,283	29.9	3,247	1.96	0.72	36.8	1,658	12.94	4,076	-426	3,650	2.20	6,665
2011-09-01	14,957	67.4	5,026	33.6	4,260	2.52	0.81	30.0	1,691	16.03	4,900	-593	4,307	2.55	9,004
2012-09-01	19,121	62.9	5,682	29.7	6,109	3.51	1.15	37.4	1,741	19.10	5,998	-1,284	4,714	2.99	10,343
2013-09-01	24,866	60.5	7,230	29.1	6,853	3.91	1.20	29.3	1,754	22.30	8,778	-1,048	7,730	3.77	14,342
2014-09-01	26,487	59.7	7,550	28.5	7,967	4.65	1.54	35.4	1,714	23.24	8,887	-1,185	7,702	4.98	16,400
2015-09-01	26,517	59.0	6,628	25.0	6,103	3.65	1.74	47.7	1,671	21.13	5,441	-1,045	4,396	?	?
