Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2010-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2011-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2012-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2013-03-01	964	31.7	-16	-1.6	-53	?	?	?	?	?	71	-55	17	?	?
2014-03-01	1,148	35.3	27	2.4	13	?	?	?	?	?	131	-68	63	?	317
2015-03-01	1,711	40.3	122	7.2	196	2.11	?	?	93	6.01	306	-171	135	0.94	1,175
2016-02-29	2,068	40.0	75	3.6	160	1.07	?	?	?	41.32	411	-251	160	?	?
