Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	17	89.0	3	16.8	2	?	?	?	?	?	3	?	2	?	?
2011-12-01	80	95.0	38	47.9	17	?	?	?	?	?	29	-2	28	?	79
2012-12-01	145	93.7	45	31.4	26	0.54	?	?	49	?	42	-3	39	?	98
2013-12-01	210	93.8	53	25.1	32	0.23	?	?	26	6.88	32	-6	25	0.65	194
2014-12-01	265	93.0	49	18.7	27	0.49	?	?	55	8.91	61	-9	52	0.68	286
2015-12-01	264	92.6	46	17.3	25	0.45	?	?	55	9.18	74	-9	64	?	?
