Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	2,306	42.2	577	25.0	386	2.00	?	?	193	12.00	481	-134	346	1.66	2,005
2006-12-01	3,258	38.0	326	10.0	199	0.96	?	?	207	14.63	598	-176	422	1.51	3,345
2007-12-01	3,896	30.9	277	7.1	218	0.93	?	?	236	22.12	653	-287	366	1.55	2,386
2008-12-01	3,351	1.9	-1,973	-58.9	-2,057	-9.13	?	?	225	14.05	87	-184	-97	-0.43	1,440
2009-12-01	3,567	36.0	519	14.6	415	1.79	?	?	232	17.13	488	-60	428	1.85	2,044
2010-12-01	4,827	46.9	1,462	30.3	1,300	5.44	?	?	239	24.66	1,452	-108	1,344	5.62	3,073
2011-12-01	5,662	43.1	1,530	27.0	987	4.04	?	?	245	27.96	1,054	-193	861	4.30	3,263
2012-12-01	5,053	33.3	696	13.8	417	1.70	?	?	245	30.09	530	-488	42	0.17	2,725
2013-12-01	6,170	46.5	1,562	25.3	1,043	4.34	0.45	5.9	240	29.32	1,864	-213	1,650	5.30	3,420
2014-12-01	6,628	46.3	1,558	23.5	1,007	4.23	1.05	20.3	238	32.10	1,698	-233	1,466	6.80	2,009
2015-12-01	6,051	42.7	877	14.5	585	2.56	1.20	46.9	228	27.50	1,413	-348	1,065	?	?
