Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-09-01	792	38.8	50	6.3	26	0.16	?	?	159	5.00	54	-38	16	0.10	338
2006-09-01	774	33.9	-66	-8.6	-88	-0.55	?	?	159	5.06	27	-49	-22	-0.20	245
2007-09-01	742	38.7	58	7.9	58	0.36	?	?	161	4.69	85	-43	42	0.21	316
2008-09-01	860	39.9	90	10.5	111	0.68	?	?	165	5.70	174	-65	109	0.66	346
2009-09-01	803	39.6	72	8.9	93	0.55	?	?	170	6.46	210	-39	171	1.01	393
2010-09-01	1,072	42.6	200	18.6	137	0.75	?	?	183	7.37	223	-89	134	0.73	586
2011-09-01	1,419	43.7	295	20.8	227	1.19	?	?	191	8.63	366	-101	265	1.39	569
2012-09-01	1,569	42.5	256	16.3	202	1.05	?	?	192	9.37	285	-94	191	1.46	701
2013-09-01	1,792	42.8	345	19.3	278	1.45	?	?	192	10.64	500	-124	376	1.43	894
2014-09-01	2,292	44.6	565	24.7	458	2.38	0.22	5.8	193	12.61	772	-209	564	2.95	1,132
2015-09-01	3,096	46.6	924	29.8	744	3.82	0.50	13.1	195	15.95	961	-362	598	?	?
