Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-03-01	4,143	76.3	274	6.6	157	0.15	?	?	1,026	13.13	1,537	-274	1,262	1.23	430
2007-03-01	5,199	76.6	520	10.0	404	0.41	?	?	983	13.40	1,666	-433	1,233	1.13	753
2008-03-01	5,874	79.2	602	10.3	464	0.52	?	?	884	13.07	1,819	-274	1,545	1.75	-70
2009-03-01	6,150	80.0	-6,470	-105.2	-6,729	-8.10	?	?	831	4.81	1,671	-272	1,398	1.68	-214
2010-03-01	5,985	81.5	933	15.6	714	0.87	?	?	819	5.64	1,693	-248	1,445	1.76	580
2011-03-01	6,190	83.1	880	14.2	597	0.76	?	?	786	5.93	1,794	-268	1,526	1.94	-407
2012-03-01	6,730	83.9	1,079	16.0	1,172	1.57	?	?	748	6.42	1,901	-286	1,615	2.14	128
2013-03-01	6,906	83.0	1,123	16.3	765	1.08	?	?	711	7.39	1,593	-336	1,257	1.86	753
2014-03-01	6,676	82.8	1,183	17.7	898	1.28	0.60	36.2	704	8.28	1,281	-260	1,021	1.65	1,346
2015-03-01	6,508	82.3	1,149	17.7	878	1.26	0.60	45.5	696	8.66	1,312	-381	931	1.29	969
2016-02-29	6,508	82.3	1,149	17.7	878	1.26	0.60	47.6	696	8.67	1,312	-381	931	?	?
