Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	298	99.2	125	41.9	72	?	?	?	?	?	111	-18	93	?	?
2009-12-01	352	98.7	168	47.8	102	?	?	?	?	?	126	-14	112	?	-79
2010-12-01	485	98.5	226	46.7	139	?	?	?	?	?	197	-19	178	?	34
2011-12-01	637	98.3	273	42.8	178	1.32	?	?	135	4.85	218	-21	197	1.50	148
2012-12-01	763	98.4	296	38.8	194	1.37	?	?	141	5.09	239	-29	210	1.48	437
2013-12-01	945	98.1	295	31.2	205	1.41	?	?	145	5.83	350	-55	294	2.08	387
2014-12-01	1,246	96.8	340	27.3	226	1.55	?	?	146	7.60	387	-81	306	2.23	366
2015-12-01	1,410	96.3	313	22.2	211	1.45	?	?	146	8.61	419	-93	326	?	?
