Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	12	51.0	-6	-50.6	-11	?	?	?	?	?	11	-37	-27	?	-1
2006-12-01	54	87.7	34	62.3	27	?	?	?	?	?	16	-37	-21	?	9
2007-12-01	34	100.0	13	39.1	3	0.24	?	?	11	7.63	1	-26	-25	-2.32	7
2008-12-01	102	89.1	5	4.9	-4	-0.32	0.74	?	12	7.03	40	-119	-79	-6.74	24
2009-12-01	55	69.8	-97	-178.2	-96	-6.74	1.50	?	14	3.27	52	-109	-57	-4.12	16
2010-12-01	93	72.8	35	38.1	22	1.00	2.15	211.6	22	10.66	72	-131	-60	-2.78	-163
2011-12-01	320	71.0	122	38.3	62	1.95	2.28	90.9	31	7.19	176	-242	-65	-2.16	11
2012-12-01	347	70.1	-131	-37.8	-169	-3.11	2.79	?	54	13.49	204	-845	-640	-11.91	34
2013-12-01	455	67.9	115	25.3	60	0.77	2.46	?	73	15.66	261	-398	-137	-6.18	-19
2014-12-01	788	75.3	101	12.9	64	0.55	2.52	177.1	82	15.73	340	-1,451	-1,111	-14.43	108
2015-12-01	801	76.6	-782	-97.5	-859	-10.51	2.06	?	85	6.67	350	-933	-584	?	?
