Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2006-03-01	1,726	61.9	412	23.9	354	1.00	0.28	28.0	355	7.96	489	-67	422	1.19	1,303
2007-03-01	1,843	61.0	348	18.9	351	1.02	0.36	31.6	344	8.96	552	-111	441	1.32	1,397
2008-03-01	1,841	62.7	424	23.0	374	1.25	0.48	38.4	299	5.96	581	-46	535	1.79	1,480
2009-03-01	1,825	63.3	430	23.5	376	1.36	0.56	41.3	277	6.34	443	-39	403	1.46	1,519
2010-03-01	1,834	63.4	432	23.6	357	1.29	0.60	46.5	277	7.66	554	-28	526	1.90	1,550
2011-03-01	2,369	65.4	795	33.6	642	2.39	0.64	26.7	268	9.25	724	-65	659	2.46	2,255
2012-03-01	2,241	64.9	628	28.0	530	1.95	0.76	34.8	272	9.71	827	-70	757	2.95	2,108
2013-03-01	2,169	66.0	581	26.8	488	1.79	0.88	48.3	273	10.68	657	-30	626	2.38	1,911
2014-03-01	2,383	68.8	749	31.4	630	2.19	1.00	45.3	287	10.88	805	-45	760	2.66	2,078
2015-03-01	2,377	70.2	755	31.8	648	2.35	1.16	47.1	276	10.35	791	-30	761	2.76	2,972
2016-02-29	2,314	70.6	727	31.4	622	2.28	1.18	51.8	273	10.15	844	-28	816	?	?
