Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	5,258	60.1	1,108	21.1	1,896	1.28	?	?	1,486	5.24	1,711	-409	1,302	0.83	2,245
2006-12-01	6,426	58.4	941	14.6	751	0.52	?	?	1,458	5.93	1,372	-689	682	0.66	2,276
2007-12-01	6,969	59.3	695	10.0	660	0.47	?	?	1,405	7.13	1,919	-713	1,206	0.86	937
2008-12-01	7,209	58.1	13	0.2	424	0.29	?	?	1,400	8.11	1,880	-746	1,134	0.81	3,040
2009-12-01	6,460	55.5	387	6.0	598	0.42	?	?	1,416	8.89	1,310	-466	844	0.60	2,877
2010-12-01	6,325	58.5	773	12.2	1,232	0.90	?	?	1,365	9.59	1,240	-736	505	0.37	2,720
2011-12-01	4,984	69.9	800	16.1	1,049	0.82	?	?	1,282	10.47	1,324	-605	719	0.44	2,245
2012-12-01	4,987	67.5	566	11.4	3,945	3.28	?	?	1,203	13.06	-282	-509	-791	-0.66	4,362
2013-12-01	4,680	71.2	590	12.6	1,366	1.26	?	?	1,071	12.32	1,195	-341	855	-1.30	3,686
2014-12-01	4,618	71.9	143	3.1	7,522	7.45	?	?	1,004	39.19	897	-375	522	0.71	5,171
2015-12-01	4,711	69.7	25	0.5	7,231	7.35	?	?	983	35.87	-2,180	-425	-2,605	?	?
