Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	17	76.9	-13	-74.1	-13	?	?	?	?	?	-4	-4	-8	?	16
2010-12-01	30	83.7	-7	-22.4	-7	-0.31	?	?	22	?	2	-6	-3	?	12
2011-12-01	66	84.0	1	1.5	1	?	?	?	22	3.47	15	-9	6	0.21	72
2012-12-01	117	88.0	6	5.0	6	0.18	?	?	33	8.27	32	-17	16	0.48	185
2013-12-01	198	90.5	-17	-8.6	-12	-0.35	?	?	36	14.14	31	-26	5	-0.04	282
2014-12-01	326	91.0	-45	-13.7	-44	-1.09	?	?	40	14.34	46	-44	1	0.45	352
2015-12-01	480	90.3	-123	-25.6	-124	-2.65	?	?	47	45.27	33	-60	-27	?	?
