Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	121	53.3	-53	-43.5	-53	?	?	?	?	?	191	-39	152	?	-12
2010-12-01	597	70.5	125	21.0	91	0.14	?	?	645	?	326	-58	268	?	386
2011-12-01	1,140	71.1	-406	-35.6	-404	-1.40	?	?	289	0.97	389	-242	147	0.12	1,355
2012-12-01	1,281	72.5	-183	-14.3	-209	-0.28	?	?	741	2.34	196	-332	-136	-0.18	975
2013-12-01	873	71.6	-66	-7.5	-37	-0.05	?	?	800	2.25	29	-8	21	0.04	965
2014-12-01	690	69.1	-245	-35.4	-226	-0.26	?	?	875	2.13	-5	-9	-14	-0.01	714
2015-12-01	706	69.2	-229	-32.4	-211	-0.24	?	?	887	2.04	-27	-10	-37	?	?
