Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-09-01	100.00	70.98	29.02	13.34	3.83	?	11.84	1.18	13.03	26.45	9.58	1.42	13.62	1.55	21.29	19.14	?	68.27	34.37	11.78	2.33	406.14	359.56	25.88	9.21	383.70	173.86	11.18	12.15	339.44	158.80	7.43	6.11	171.41	200.13	1.87	16.33	1.70	71.52	7.75	1.43	8.48	89.17	7.07	0.83	2.93	100.00	15.40	?	?	4.99	9.77	30.16	?	5.20	35.36	64.64	100.00	2.96	2.63	1.55	?	21.86	4.91	59.62	-32.84	16.69	74.35	18.28	1.42
2006-09-01	100.00	71.02	28.98	12.60	3.69	?	12.70	1.89	14.59	29.42	10.30	1.34	13.83	1.72	22.80	19.61	?	38.65	45.99	29.21	6.98	48.67	?	?	?	48.99	206.62	?	?	45.51	188.03	?	?	-12.43	-31.30	3.40	8.09	0.79	58.76	7.28	1.57	16.72	84.33	7.45	1.15	7.07	100.00	19.70	?	?	6.92	10.99	37.61	?	4.36	41.97	58.03	100.00	2.24	1.76	1.72	?	20.29	5.79	68.77	-42.70	17.99	63.07	18.41	1.34
2007-09-01	100.00	66.03	33.97	12.34	3.26	?	18.37	2.50	20.86	30.19	14.56	1.13	16.43	1.74	28.52	24.84	?	24.29	42.60	33.12	12.99	79.74	138.25	203.93	?	75.77	133.11	121.89	?	73.13	122.87	112.83	?	146.40	186.88	4.11	18.68	1.28	60.70	15.90	1.37	8.66	86.62	7.23	1.66	4.49	100.00	19.61	?	?	4.97	12.11	36.69	?	5.98	42.67	57.33	100.00	2.36	2.09	1.74	?	21.96	7.09	96.25	-67.19	16.62	51.47	15.42	1.13
2008-09-01	100.00	65.69	34.31	11.58	3.41	?	19.32	1.91	21.23	29.89	14.88	1.00	14.89	1.88	27.19	27.19	?	35.30	32.60	39.23	18.52	42.32	56.09	?	37.44	38.27	53.56	133.93	31.65	36.39	50.90	124.02	26.15	75.43	87.27	3.69	25.85	1.74	61.89	11.89	1.29	12.60	87.66	6.20	1.24	4.89	100.00	13.95	?	?	9.40	12.26	35.61	?	11.25	46.86	53.14	100.00	2.46	2.07	1.88	?	22.81	7.31	89.74	-59.61	16.00	49.90	15.15	1.00
2009-09-01	100.00	59.86	40.14	9.67	3.11	?	27.36	0.76	28.12	31.75	19.19	0.99	18.92	1.50	31.27	30.22	?	32.10	30.48	38.97	21.47	87.09	68.52	104.78	41.73	70.36	60.57	97.22	29.92	69.40	58.74	91.24	25.97	5.87	6.54	2.83	20.85	1.09	49.40	10.65	0.96	5.43	66.43	6.22	1.18	26.17	100.00	11.79	?	0.91	7.20	4.32	24.22	?	9.17	33.39	66.61	100.00	2.74	2.48	1.50	?	24.60	6.85	79.02	-47.58	14.84	53.28	15.86	0.99
2010-09-01	100.00	60.62	39.38	8.46	2.73	?	28.19	0.24	28.42	24.42	21.48	1.06	22.84	1.57	35.28	34.69	?	52.02	39.54	36.17	23.37	56.60	60.96	61.96	42.78	70.16	58.85	60.03	33.39	66.85	56.80	57.56	30.11	83.04	84.15	3.25	25.26	1.18	34.08	13.20	1.40	6.76	55.44	6.34	1.44	36.78	100.00	15.98	?	0.28	6.45	4.85	27.56	?	8.87	36.43	63.57	100.00	2.01	1.72	1.57	?	24.82	6.95	81.31	-49.53	14.71	52.51	16.89	1.06
2011-09-01	100.00	59.52	40.48	7.02	2.24	?	31.22	0.38	31.60	24.22	23.95	1.13	27.07	1.52	41.67	41.04	?	65.96	49.37	41.16	35.05	83.79	75.28	68.97	?	84.99	75.03	67.11	?	82.71	72.85	64.90	?	101.82	82.57	6.88	27.79	1.16	22.30	10.07	0.67	5.62	38.66	6.68	3.81	50.85	100.00	12.57	?	0.98	6.97	3.52	24.04	?	10.13	34.16	65.84	100.00	1.61	1.35	1.52	?	18.34	5.18	75.48	-51.96	19.90	70.53	17.26	1.13
2012-09-01	100.00	56.13	43.87	6.42	2.16	?	35.30	0.33	35.63	25.16	26.67	1.07	28.54	1.49	42.84	42.01	?	44.58	53.94	45.49	39.17	63.48	67.57	65.80	124.48	60.99	71.77	64.20	90.88	59.50	69.41	62.22	85.81	35.51	37.83	6.01	26.49	0.99	16.54	10.62	0.45	5.14	32.75	8.78	3.04	55.43	100.00	12.03	?	0.87	4.76	4.23	21.89	?	10.97	32.86	67.14	100.00	1.50	1.24	1.49	?	19.01	3.26	74.39	-52.13	19.20	112.12	13.48	1.07
2013-09-01	100.00	62.38	37.62	6.34	2.62	?	28.67	0.68	29.35	26.15	21.67	0.89	19.34	1.68	30.64	26.08	369.79	9.20	37.86	39.39	39.31	-11.30	38.65	50.84	?	-11.25	38.26	50.27	87.49	-9.97	37.92	49.29	82.88	5.53	7.57	5.31	26.09	1.20	19.59	9.97	0.85	4.99	35.40	8.02	2.78	53.80	100.00	10.81	?	0.58	2.52	7.19	21.09	8.19	11.03	40.31	59.69	100.00	1.68	1.40	1.68	0.14	25.66	4.37	74.54	-44.50	14.22	83.45	10.67	0.89
2014-09-01	100.00	61.41	38.59	6.56	3.30	?	28.72	0.54	29.26	26.13	21.61	0.83	18.01	2.08	33.61	26.20	140.28	6.95	19.08	33.63	36.27	7.15	15.82	34.93	66.23	6.68	15.08	36.84	64.28	13.58	17.71	37.82	62.35	11.27	11.91	5.37	27.30	1.26	10.82	11.74	0.91	6.09	29.56	8.90	3.78	57.77	100.00	13.02	2.72	0.52	3.32	7.78	27.37	12.50	12.02	51.89	48.11	100.00	1.08	0.82	2.08	0.26	30.51	6.30	85.45	-48.64	11.96	57.94	9.82	0.83
