Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	59.10	40.90	17.38	19.56	?	3.96	-1.56	2.40	?	2.83	0.77	2.19	2.17	5.20	5.27	?	16.92	29.43	4.72	9.18	4.91	?	-23.58	-4.00	81.54	?	-29.98	-5.79	60.00	?	-32.67	-11.81	36.48	?	25.88	-0.52	-0.18	24.63	13.02	5.33	5.85	48.83	37.06	?	14.11	100.00	11.74	0.59	?	8.71	3.96	25.00	18.21	10.80	54.01	45.99	100.00	1.95	1.51	2.17	0.40	47.60	66.72	79.79	34.53	7.67	5.47	1.69	0.77
2006-12-01	100.00	50.56	49.44	20.18	21.33	8.76	-0.83	-2.94	-3.77	?	-2.94	0.55	-1.62	2.27	-3.63	-2.20	?	-3.40	17.09	7.74	11.21	?	?	?	?	?	?	?	?	?	?	?	?	-13.21	?	32.87	-10.09	3.43	11.72	8.75	6.19	3.48	30.14	30.33	33.65	5.88	100.00	10.18	0.95	?	6.79	3.77	21.69	27.93	6.37	56.00	44.00	100.00	1.39	0.94	2.27	0.63	62.85	76.85	140.19	-0.48	5.81	4.75	1.69	0.55
2007-12-01	100.00	62.38	37.62	22.83	30.72	31.71	-47.65	-5.01	-52.65	?	-56.19	0.49	-27.36	3.86	-77.01	-34.58	?	6.44	6.33	17.39	9.82	?	?	?	?	?	?	?	?	?	?	?	?	?	?	28.02	-33.18	0.59	16.35	5.54	7.11	4.03	33.04	40.87	21.59	4.50	100.00	8.74	2.06	?	8.72	3.21	22.73	43.56	7.83	74.11	25.89	100.00	1.45	0.96	3.86	1.68	54.02	79.55	114.19	19.38	6.76	4.59	1.38	0.49
2008-12-01	100.00	60.06	39.94	22.45	31.82	19.34	-33.66	-5.25	-38.91	?	-53.34	0.60	-32.23	?	-213.07	-42.25	?	-3.41	-0.23	10.54	8.61	?	?	?	?	?	?	?	?	?	?	?	?	?	?	10.74	-22.66	0.42	14.28	4.17	8.55	4.00	31.00	55.97	6.40	6.63	100.00	8.22	3.73	?	12.34	4.72	29.00	61.26	10.80	101.07	-1.07	100.00	1.07	0.64	?	?	30.17	77.28	85.81	21.64	12.10	4.72	1.29	0.60
2009-12-01	100.00	57.95	42.05	4.59	31.85	-6.68	12.29	-4.74	7.55	27.45	5.63	0.65	3.63	14.01	107.42	12.07	1.93	-6.97	-1.47	1.56	6.58	?	?	24.63	?	?	?	32.76	?	?	?	12.47	?	?	?	8.62	0.13	0.02	29.48	8.21	6.25	3.16	47.09	41.96	4.64	6.31	100.00	7.13	?	?	8.76	8.46	24.34	?	68.52	92.86	7.14	100.00	1.93	1.55	14.01	6.56	35.97	71.29	74.49	32.77	10.15	5.12	1.33	0.65
2010-12-01	100.00	54.40	45.60	14.38	21.64	-3.48	13.06	1.89	14.95	3.91	7.25	0.92	6.71	4.90	56.71	15.08	5.88	20.19	2.60	2.12	3.41	27.71	?	29.63	-0.47	25.27	?	23.27	-7.09	42.22	?	9.86	-13.99	?	?	2.28	-8.62	-1.19	36.04	19.50	12.73	4.13	72.40	14.10	7.25	6.24	100.00	11.70	4.61	?	14.06	3.34	33.72	?	45.87	79.59	20.41	100.00	2.15	1.65	4.90	2.16	48.14	61.94	63.43	46.64	7.58	5.89	2.88	0.92
2011-12-01	100.00	55.24	44.76	15.10	22.12	1.93	5.60	-5.62	-0.02	?	7.48	1.32	9.90	3.12	37.73	17.09	0.99	1.14	4.18	3.06	5.37	-56.60	?	?	?	4.25	?	?	?	3.13	?	?	?	?	?	3.81	2.01	0.27	35.63	18.55	9.61	1.39	65.18	14.65	6.52	13.65	100.00	10.90	?	?	10.70	14.21	35.81	?	32.10	67.90	32.10	100.00	1.82	1.51	3.12	0.96	52.43	55.74	56.39	51.78	6.96	6.55	9.21	1.32
2012-12-01	100.00	77.22	22.78	15.18	24.97	2.10	-19.48	-2.97	-22.45	?	-21.82	1.21	-26.42	7.43	-111.18	-33.00	-5.95	-17.45	0.12	-2.05	7.23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.45	-8.69	0.40	25.05	15.75	14.05	1.78	56.63	16.45	16.23	10.70	100.00	18.30	?	?	7.95	8.68	34.93	?	51.63	86.55	13.45	100.00	1.62	1.17	7.43	3.79	52.14	45.24	55.44	41.94	7.00	8.07	7.84	1.21
2013-12-01	100.00	62.67	37.33	12.72	22.66	?	1.94	-3.34	-1.40	?	-1.57	1.27	-1.99	7.97	-15.34	2.63	0.58	-2.27	-6.55	-1.82	4.18	?	-50.48	?	?	?	?	?	?	?	?	?	?	?	?	1.59	-4.38	2.80	25.29	19.18	20.38	1.64	66.50	7.98	14.55	10.98	100.00	11.97	?	?	11.60	13.74	37.31	?	50.15	87.46	12.54	100.00	1.78	1.19	7.97	3.67	50.35	79.46	68.75	61.07	7.25	4.59	10.56	1.27
2014-12-01	100.00	66.60	33.40	10.97	19.47	5.78	-2.82	-4.41	-7.23	?	-7.32	1.36	-9.95	20.14	-110.26	-9.25	-1.25	3.91	-5.71	0.38	0.97	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.73	-3.51	0.48	27.61	21.71	18.18	5.12	72.63	8.02	16.03	3.32	100.00	11.02	4.70	?	13.78	8.73	38.23	?	56.81	95.04	4.96	100.00	1.90	1.29	20.14	10.88	54.69	78.09	46.48	86.29	6.67	4.67	16.99	1.36
