Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	75.98	24.02	13.62	5.31	?	5.09	-0.05	5.04	22.20	4.23	2.45	10.34	15.02	?	23.35	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.40	6.23	1.47	54.11	7.41	15.31	2.41	79.25	9.42	4.30	7.03	100.00	36.96	?	?	15.23	?	52.19	41.15	?	93.34	6.66	100.00	1.52	1.18	15.02	6.18	10.17	29.58	70.94	-31.19	35.89	12.34	28.58	2.45
2006-12-01	100.00	77.07	22.93	13.02	6.18	0.09	3.63	-0.11	3.52	49.60	1.77	2.66	4.72	10.12	56.13	12.06	5.83	26.16	26.72	27.96	92.04	-9.95	12.86	?	?	-47.08	75.28	?	?	-46.43	77.84	?	?	-423.00	-813.00	2.02	4.54	2.56	46.28	9.15	20.10	1.79	77.31	10.47	4.95	7.27	100.00	41.62	?	?	16.41	?	58.03	28.58	3.51	90.12	9.88	100.00	1.33	0.96	10.12	2.94	11.47	31.90	70.35	-26.98	31.83	11.44	26.61	2.66
2007-12-01	100.00	77.40	22.60	12.61	5.51	0.06	4.42	0.03	4.45	27.88	3.21	2.74	8.78	5.42	58.48	22.02	9.57	38.50	28.93	30.41	58.55	68.38	14.14	59.16	?	150.53	-6.83	?	?	148.89	-6.95	?	?	?	?	1.51	7.96	2.48	47.99	10.87	18.50	2.27	79.63	8.37	3.82	8.17	100.00	43.10	?	?	14.17	?	57.27	19.77	4.50	81.54	18.46	100.00	1.39	1.03	5.42	1.12	13.58	33.01	73.29	-26.70	26.88	11.06	29.67	2.74
2008-12-01	100.00	77.72	22.28	12.62	5.39	-0.13	4.39	0.31	4.70	27.41	3.37	2.59	8.72	3.11	33.34	21.70	13.69	29.19	31.18	29.49	41.16	28.55	24.91	25.49	?	35.50	21.57	78.81	?	33.04	21.05	79.48	?	?	?	1.74	7.12	2.11	44.83	9.95	16.83	2.45	74.06	10.27	7.19	8.48	100.00	43.23	0.71	?	13.15	?	57.08	4.92	5.86	67.86	32.14	100.00	1.30	0.96	3.11	0.20	14.59	31.84	78.28	-31.85	25.02	11.46	27.44	2.59
2009-12-01	100.00	77.43	22.57	17.54	?	0.42	4.61	0.13	4.74	21.79	3.68	2.22	8.15	2.63	22.75	20.65	35.15	27.88	31.77	28.77	31.05	34.09	42.64	20.72	?	39.85	68.07	8.92	?	36.91	65.50	7.98	?	?	?	1.52	11.91	3.24	46.09	7.15	15.72	1.97	70.93	9.34	13.04	6.70	100.00	40.58	?	?	12.73	?	53.31	0.79	7.84	61.94	38.06	100.00	1.33	1.00	2.63	0.05	13.51	34.33	88.46	-40.62	27.01	10.63	22.86	2.22
2010-12-01	100.00	77.65	22.35	12.86	5.07	0.31	4.11	0.27	4.38	23.51	3.37	2.10	7.07	2.74	19.01	17.56	39.38	39.56	32.11	32.14	28.61	24.54	29.00	26.62	?	27.72	34.26	26.26	?	24.02	31.21	24.67	?	613.00	?	2.86	7.36	2.18	46.61	8.44	17.03	1.04	73.13	12.84	10.17	3.85	100.00	42.83	?	?	12.35	?	55.18	0.98	7.33	63.48	36.52	100.00	1.33	1.00	2.74	0.09	13.74	36.92	93.83	-43.17	26.57	9.89	18.47	2.10
2011-12-01	100.00	77.56	22.44	14.28	6.05	0.32	1.79	0.15	1.94	31.16	1.31	2.18	2.86	3.26	8.63	7.60	15.37	40.56	35.87	35.03	31.45	-38.69	0.79	17.25	?	-45.23	-0.73	27.13	?	-45.85	-2.76	24.94	?	?	?	3.77	4.35	3.32	37.88	10.17	19.75	1.39	69.19	17.47	10.29	3.04	100.00	44.09	?	?	14.84	?	58.93	1.01	9.38	69.31	30.69	100.00	1.17	0.82	3.26	0.18	15.78	40.10	93.95	-38.06	23.13	9.10	14.08	2.18
2012-12-01	100.00	75.25	24.75	15.92	7.47	0.26	1.11	-0.22	0.89	78.68	-0.06	2.11	-0.13	3.97	-0.49	-0.05	6.91	27.07	35.59	32.72	31.56	-21.58	-15.71	0.63	26.56	?	?	?	?	?	?	?	?	710.00	?	6.20	0.65	-10.13	35.17	10.33	18.53	1.39	65.42	21.69	10.07	2.83	100.00	40.91	?	?	17.46	?	58.37	9.47	6.99	74.84	25.16	100.00	1.12	0.78	3.97	0.47	17.73	43.76	97.12	-35.63	20.59	8.34	10.65	2.11
2013-12-01	100.00	72.77	27.23	17.26	8.82	0.15	1.00	-0.32	0.68	31.82	0.37	2.05	0.75	4.12	3.06	2.55	4.59	21.87	29.60	31.18	30.33	10.21	-19.08	-2.42	10.66	?	-38.04	-15.74	22.75	?	-38.45	-16.91	22.12	?	?	4.63	2.73	7.41	30.99	11.87	18.45	?	61.32	27.26	8.22	3.20	100.00	37.68	?	?	16.65	2.89	57.22	7.95	10.56	75.73	24.27	100.00	1.07	0.75	4.12	0.53	19.93	45.28	95.83	-30.62	18.31	8.06	8.27	2.05
2014-12-01	100.00	70.52	29.48	18.71	10.42	0.15	0.20	-0.32	-0.12	?	-0.27	1.88	-0.51	5.07	-2.35	-0.68	0.47	19.52	22.78	29.42	29.10	-76.11	-40.89	-30.89	-8.66	?	?	?	?	?	?	?	?	?	-404.00	5.50	2.19	-8.09	31.95	10.30	15.23	?	57.48	31.13	6.09	5.31	100.00	30.20	?	?	17.99	3.34	51.53	15.16	13.60	80.29	19.71	100.00	1.12	0.82	5.07	1.16	21.29	45.69	91.88	-24.90	17.15	7.99	6.38	1.88
