Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	10.91	89.09	30.83	25.84	11.81	20.61	2.29	22.90	21.33	18.02	0.33	5.92	1.10	6.60	5.94	?	51.75	15.38	18.12	?	35.80	5.00	8.86	?	30.59	9.70	7.28	?	7.06	-2.26	-1.53	?	1.53	0.15	2.58	17.72	0.98	22.47	7.75	0.21	1.75	32.19	1.79	63.95	2.08	100.00	0.31	?	?	3.49	4.54	8.34	?	1.02	9.36	90.64	100.00	3.86	3.62	1.10	?	65.97	17.19	45.62	37.54	5.53	21.23	17.25	0.33
2006-12-01	100.00	11.73	88.27	35.27	28.68	7.22	17.10	4.57	21.67	16.54	17.16	0.39	6.61	1.14	7.39	6.47	?	13.48	27.19	12.41	?	-5.86	37.69	-0.54	?	8.05	51.44	5.79	?	10.48	34.86	-0.67	?	40.27	39.84	3.25	21.84	1.27	19.69	11.54	0.30	1.94	33.46	2.14	62.09	2.31	100.00	0.28	?	?	5.06	5.89	11.23	?	0.73	11.96	88.04	100.00	2.98	2.78	1.14	?	86.63	20.21	23.89	82.95	4.21	18.06	19.68	0.39
2007-12-01	100.00	10.79	89.21	37.18	28.07	7.43	16.53	2.08	18.61	23.63	14.22	0.43	6.10	1.13	6.90	6.13	?	-1.43	19.29	11.43	?	-4.72	6.79	0.75	?	-18.32	4.85	3.10	?	-15.22	0.09	-2.64	?	-4.96	-4.73	3.08	21.11	1.48	9.22	13.43	0.42	2.56	25.64	2.16	68.99	3.21	100.00	0.40	?	?	4.61	5.93	10.94	?	0.36	11.30	88.70	100.00	2.34	2.07	1.13	?	96.96	27.87	26.46	98.37	3.76	13.10	19.94	0.43
2008-12-01	100.00	11.00	89.00	39.65	29.30	?	20.05	1.09	21.14	31.01	14.58	0.43	6.20	1.15	7.06	7.07	?	15.23	8.83	18.51	21.58	39.79	7.83	28.30	22.86	18.20	1.42	27.38	21.76	25.45	5.53	21.14	23.81	60.20	58.00	4.69	28.94	1.98	9.29	9.07	0.23	4.25	22.84	1.67	72.26	3.22	100.00	0.82	?	?	4.20	7.55	12.57	?	0.14	12.71	87.29	100.00	1.82	1.46	1.15	?	88.65	23.94	50.99	61.61	4.12	15.25	22.78	0.43
2009-12-01	100.00	8.35	91.65	39.91	36.79	?	14.95	0.54	15.49	14.43	13.26	0.36	4.78	1.14	5.47	5.48	331.48	2.04	5.04	14.82	17.29	-23.90	0.45	5.32	11.23	-7.23	-3.61	4.79	9.60	-8.82	-1.02	2.78	6.52	-3.95	0.15	3.25	28.41	2.14	17.14	7.73	0.20	2.84	27.91	1.61	64.12	6.37	100.00	0.27	?	?	5.53	6.64	12.44	?	0.09	12.53	87.47	100.00	2.24	2.00	1.14	?	85.06	26.17	66.15	45.07	4.29	13.95	21.97	0.36
2010-12-01	100.00	6.41	93.59	32.91	34.37	?	26.31	0.75	27.06	21.86	21.14	0.42	8.91	1.21	10.53	10.58	195.39	33.30	16.16	11.88	14.96	134.49	35.62	17.47	13.09	112.60	32.60	15.52	11.32	106.45	33.17	17.21	7.43	83.24	95.72	1.81	41.71	1.97	25.73	9.74	0.16	2.04	37.68	1.28	50.19	10.86	100.00	0.40	?	1.86	6.64	6.66	15.56	?	1.93	17.49	82.51	100.00	2.42	2.28	1.21	?	76.72	24.25	46.10	54.87	4.76	15.05	29.67	0.42
2011-12-01	100.00	5.63	94.37	30.46	33.62	?	30.29	1.62	31.91	28.23	22.90	0.41	9.45	1.22	11.52	11.52	?	20.96	18.05	13.32	12.87	39.29	35.46	27.05	12.41	31.02	37.22	20.06	12.70	28.13	34.11	20.73	9.51	9.54	6.64	2.64	36.77	1.61	26.61	9.20	0.19	2.93	38.94	1.40	42.70	16.97	100.00	0.67	?	2.05	6.53	7.98	17.24	?	1.12	18.36	81.64	100.00	2.26	2.08	1.22	?	83.60	28.04	85.55	26.10	4.37	13.02	30.75	0.41
2012-12-01	100.00	5.53	94.47	29.57	28.83	?	36.07	2.24	38.31	27.29	27.86	0.42	11.62	1.22	14.18	14.12	737.67	17.30	23.67	17.33	14.34	39.68	65.85	37.15	17.55	42.66	58.39	34.23	17.64	40.24	54.80	33.52	14.01	-19.04	-27.39	4.44	22.76	0.82	26.34	9.20	0.16	9.58	45.27	2.46	36.17	16.10	100.00	0.40	?	0.23	3.74	11.56	15.93	?	1.85	17.77	82.23	100.00	2.84	2.23	1.22	?	77.23	27.29	83.37	21.15	4.73	13.38	21.27	0.42
2013-12-01	100.00	5.50	94.50	30.45	28.39	14.18	21.48	1.27	22.75	35.55	14.67	0.46	6.75	1.25	8.33	8.30	814.00	23.87	20.68	19.04	18.77	-26.24	12.80	20.69	24.44	-34.79	6.82	19.18	23.21	-35.65	4.96	16.83	18.97	100.96	105.64	6.34	37.78	2.58	36.19	9.42	0.18	1.82	47.61	2.05	37.16	13.18	100.00	0.43	?	1.42	3.90	11.36	17.11	?	2.85	19.96	80.04	100.00	2.78	2.67	1.25	?	65.15	24.61	59.90	29.86	5.60	14.83	20.51	0.46
2014-12-01	100.00	4.75	95.25	28.19	28.19	?	38.86	0.94	39.80	19.30	32.12	0.46	14.70	1.20	17.99	17.94	?	11.28	17.37	21.12	17.93	101.30	27.53	46.61	24.26	143.70	31.37	44.57	23.09	143.24	29.96	42.16	20.88	8.34	15.26	3.82	39.13	1.22	2.94	9.08	0.15	35.23	47.40	2.36	35.06	15.17	100.00	0.64	?	0.26	3.08	10.19	14.17	?	2.65	16.81	83.19	100.00	3.35	0.85	1.20	?	59.69	27.52	90.28	-3.07	6.11	13.26	20.65	0.46
2015-12-01	100.00	4.58	95.42	25.98	28.27	?	41.16	0.84	42.01	18.67	34.17	0.50	16.93	1.17	20.08	19.96	?	22.13	?	?	?	41.35	?	?	?	?	?	?	?	38.46	?	?	?	?	?	3.38	40.13	1.17	3.04	8.14	0.10	38.13	49.42	2.67	34.43	13.49	100.00	0.56	?	1.03	4.26	6.35	12.20	?	2.67	14.87	85.13	100.00	4.05	0.92	1.17	?	55.13	21.34	79.90	-3.43	6.62	17.11	18.79	0.50
