Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-03-01	100.00	64.06	35.94	25.74	8.98	?	1.22	2.09	3.31	13.77	2.85	1.08	3.07	1.16	3.60	1.65	?	4.42	19.32	18.81	37.36	-90.27	-42.58	-14.72	21.64	-69.71	-14.13	15.36	22.45	-71.72	-16.45	2.29	8.54	-60.05	-72.25	2.07	3.79	1.33	66.57	2.03	4.33	5.69	78.62	3.20	14.29	3.89	100.00	6.27	?	?	7.27	?	13.54	?	0.13	13.66	86.34	100.00	5.81	5.07	1.16	?	17.15	21.25	38.42	-0.02	21.29	17.18	38.70	1.08
2007-03-01	100.00	64.64	35.36	21.73	8.80	?	4.83	2.42	7.26	21.89	5.67	0.94	5.34	1.27	6.51	4.44	?	3.07	16.88	13.98	33.13	307.35	-12.67	-1.92	22.25	104.75	3.35	10.43	28.28	100.00	-2.68	4.94	13.11	-68.42	-83.41	1.19	0.61	0.11	53.23	8.29	5.09	11.51	78.11	2.59	16.22	3.08	100.00	7.61	?	?	11.41	?	19.02	?	2.30	21.32	78.68	100.00	4.11	3.23	1.27	?	21.41	28.50	42.08	7.82	17.05	12.81	32.92	0.94
2008-03-01	100.00	56.78	43.22	17.38	9.30	?	16.55	1.77	18.32	35.03	11.90	1.34	15.95	1.30	20.53	18.59	?	91.55	27.27	27.38	27.27	555.69	37.48	38.28	47.07	302.02	35.60	39.12	50.39	292.86	30.49	35.59	36.22	2011.41	5796.82	1.01	18.77	1.58	57.27	8.04	5.80	7.11	78.22	2.15	14.13	5.50	100.00	5.13	?	?	10.68	6.16	21.97	?	1.06	23.03	76.97	100.00	3.56	2.97	1.30	?	22.17	26.41	29.55	19.03	16.46	13.82	57.35	1.34
2008-12-01	100.00	60.77	39.23	24.29	19.56	3.07	-7.70	1.52	-6.18	?	-3.54	0.21	-0.73	1.28	-0.93	-1.11	?	5.90	30.01	27.65	21.94	?	?	?	?	?	?	?	?	?	?	?	?	-42.29	-47.88	1.52	11.00	-3.11	20.42	8.23	1.78	6.95	37.38	1.01	60.84	0.77	100.00	3.78	?	?	3.35	8.66	15.78	?	5.81	21.59	78.41	100.00	2.37	1.82	1.28	?	145.95	52.00	110.16	87.80	2.50	7.02	20.31	0.21
2009-12-01	100.00	53.91	46.09	21.94	14.65	10.10	-0.61	0.42	-0.19	?	2.64	0.30	0.79	1.28	1.01	0.95	-1.00	41.41	45.82	26.37	22.90	?	?	?	?	?	10.51	-4.16	?	?	-14.81	-19.16	?	212.14	234.53	1.61	26.03	9.86	23.61	5.38	1.75	8.03	38.78	1.00	59.98	0.23	100.00	2.20	?	?	5.67	10.38	18.24	?	3.49	21.73	78.27	100.00	2.13	1.59	1.28	?	83.13	39.79	67.79	55.12	4.39	9.17	29.82	0.30
2010-12-01	100.00	47.81	52.19	19.88	14.44	7.33	10.55	0.52	11.06	15.04	9.40	0.33	3.08	1.31	3.99	3.96	99.40	3.93	16.82	26.24	22.37	?	-0.81	98.57	28.76	269.91	7.23	62.20	36.20	266.67	-16.93	38.54	18.59	16.31	14.81	2.18	28.76	3.06	26.17	4.77	1.04	8.18	40.17	1.26	58.03	0.54	100.00	2.71	?	0.71	3.56	14.71	21.68	?	2.21	23.89	76.11	100.00	1.85	1.43	1.31	?	56.59	32.71	57.08	32.21	6.45	11.16	28.97	0.33
2011-12-01	100.00	36.91	63.09	21.05	13.59	0.53	27.93	0.06	27.99	18.48	22.82	0.36	8.13	1.27	10.49	10.41	333.75	6.93	16.26	27.22	20.25	183.16	?	83.95	33.26	159.57	?	70.49	36.46	178.79	?	48.56	24.31	-30.81	-31.20	1.51	18.51	0.81	26.55	4.89	1.08	8.00	40.52	1.23	58.04	0.21	100.00	2.94	?	?	5.23	11.09	19.25	?	1.72	20.98	79.02	100.00	2.10	1.63	1.27	?	49.47	29.53	78.30	0.70	7.38	12.36	28.64	0.36
2012-12-01	100.00	34.23	65.77	23.46	12.44	?	29.88	0.14	30.02	21.19	23.66	0.35	8.36	1.25	10.54	10.50	?	2.12	4.31	11.46	19.34	9.26	?	26.21	32.24	5.90	116.64	28.79	33.96	9.78	123.89	13.63	24.39	41.28	44.55	1.50	26.19	1.11	30.81	4.98	1.47	6.92	44.18	0.99	53.57	1.25	100.00	2.42	?	?	4.59	11.67	18.68	?	1.63	20.30	79.70	100.00	2.37	1.92	1.25	?	50.96	38.76	80.49	9.23	7.16	9.42	31.95	0.35
2013-12-01	100.00	33.41	66.59	23.91	12.74	?	29.94	-1.16	28.78	23.43	22.04	0.32	7.16	2.12	11.26	7.69	23.74	-5.62	1.01	8.66	17.53	-5.44	43.02	?	29.53	-12.10	34.19	?	30.06	-5.94	42.26	?	20.67	-6.02	-6.45	1.61	25.97	1.18	31.71	3.68	1.22	7.94	44.54	0.98	54.16	0.31	100.00	2.53	0.18	?	4.54	9.91	17.16	33.31	2.26	52.74	47.26	100.00	2.60	2.06	2.12	0.70	48.66	45.30	83.20	10.75	7.50	8.06	32.85	0.32
2014-12-01	100.00	34.60	65.40	25.61	12.95	?	26.84	-4.58	22.25	14.88	18.94	0.31	5.81	2.04	12.05	7.30	?	-3.82	-2.49	0.60	12.42	-13.78	-3.78	?	20.97	-17.33	-8.36	49.18	20.23	18.95	7.09	65.87	16.84	2.22	-0.42	2.43	26.88	1.42	32.94	4.47	0.83	8.61	46.85	1.06	51.31	0.77	100.00	2.20	?	?	4.01	12.19	18.40	29.32	3.22	50.95	49.05	100.00	2.55	2.03	2.04	0.60	48.61	35.18	81.38	2.41	7.51	10.37	29.88	0.31
