Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-02-01	100.00	44.79	55.21	15.07	7.63	12.19	20.32	3.21	23.53	21.39	18.50	0.84	15.48	1.16	19.17	19.11	?	52.72	88.69	56.27	?	1130.83	?	?	?	78.76	?	?	?	79.83	?	?	?	-46.10	?	9.80	-2.53	-0.14	27.47	15.01	5.82	6.05	54.35	14.11	4.97	26.57	100.00	4.11	0.01	?	6.27	1.67	12.05	0.30	1.20	13.55	86.45	100.00	4.51	3.52	1.16	?	46.48	44.81	32.26	59.03	7.85	8.15	7.70	0.84
2007-02-01	100.00	45.42	54.58	17.71	7.78	2.53	26.57	1.72	28.28	26.47	20.80	1.13	23.40	1.24	28.20	28.11	?	47.24	72.21	59.52	83.12	92.46	179.31	?	?	65.55	130.11	?	?	69.17	120.33	?	?	390.88	?	10.35	13.87	0.67	31.96	19.84	8.28	2.05	62.13	15.78	8.03	14.05	100.00	4.22	0.01	?	9.31	4.16	17.69	0.21	1.70	19.60	80.40	100.00	3.51	2.93	1.24	?	53.33	51.63	29.78	75.18	6.84	7.07	7.47	1.13
2008-02-01	100.00	48.74	51.26	14.67	5.99	1.80	28.81	1.33	30.13	28.53	21.53	1.40	30.13	1.40	40.38	40.29	?	98.52	64.65	81.39	74.26	115.27	270.83	?	?	105.54	82.54	?	124.50	104.32	83.86	?	113.07	115.04	102.58	12.08	14.16	0.66	29.12	22.67	7.19	4.11	63.10	12.81	10.60	13.49	100.00	4.92	0.01	?	12.53	9.30	26.75	0.13	1.74	28.63	71.37	100.00	2.36	1.94	1.40	?	53.01	40.59	24.98	68.61	6.89	8.99	10.08	1.40
2009-02-01	100.00	53.93	46.07	13.52	6.19	1.76	24.60	0.71	25.31	32.42	17.10	1.62	27.77	1.38	38.55	38.55	?	83.55	75.06	79.45	72.75	56.75	86.57	136.20	88.50	45.82	70.56	105.35	76.90	46.12	71.57	99.92	69.79	-8.21	?	13.75	-0.63	-0.04	18.74	28.02	8.42	4.58	59.76	16.47	14.86	8.90	100.00	5.53	?	?	15.29	5.29	26.11	?	1.38	27.49	72.51	100.00	2.29	1.79	1.38	?	54.27	33.02	22.03	65.27	6.73	11.05	10.83	1.62
2010-02-01	100.00	55.97	44.03	13.85	6.45	2.08	21.65	0.19	21.84	24.78	16.43	1.63	26.85	1.34	36.46	36.46	?	35.14	70.13	61.75	67.71	18.95	58.92	148.67	78.13	29.83	57.29	63.02	72.56	30.61	57.40	64.00	67.36	109.04	?	9.57	10.73	0.65	18.73	27.44	6.09	4.70	56.96	19.17	14.47	9.39	100.00	6.03	?	0.94	16.05	0.81	23.83	?	1.67	25.50	74.50	100.00	2.39	1.94	1.34	?	57.43	28.44	23.20	62.67	6.36	12.84	9.09	1.63
2011-02-01	100.00	55.67	44.33	12.06	6.79	2.20	23.29	0.04	23.33	26.55	17.13	1.73	29.56	1.44	41.24	41.24	?	33.13	48.91	57.37	56.82	43.18	38.72	61.72	?	38.82	38.00	54.98	?	47.10	41.07	57.54	?	32.10	50.43	8.02	12.12	0.71	16.47	33.23	4.80	3.65	58.16	19.45	17.91	4.48	100.00	6.46	?	1.39	19.50	0.84	28.19	?	2.38	30.58	69.42	100.00	2.06	1.76	1.44	?	60.04	20.41	23.84	56.61	6.08	17.88	8.93	1.73
2012-02-01	100.00	64.31	35.69	14.13	8.46	5.02	8.08	0.11	8.20	22.96	6.31	1.39	8.75	1.36	12.23	12.23	?	-7.39	18.55	43.43	51.26	-67.86	-18.20	13.06	?	-65.88	-14.96	13.01	?	-64.98	-12.38	14.97	?	-27.36	?	16.92	-1.12	-0.18	12.92	26.90	7.48	4.09	51.39	20.01	26.15	2.45	100.00	5.42	?	?	17.35	1.92	24.68	?	1.76	26.44	73.56	100.00	2.08	1.61	1.36	?	69.47	25.32	24.26	70.53	5.25	14.41	7.02	1.39
2013-02-01	100.00	68.99	31.01	19.06	13.63	9.47	-11.15	0.14	-11.02	?	-5.83	0.82	-4.80	1.39	-6.61	-6.61	?	-39.93	-9.53	12.93	43.12	?	?	?	?	?	?	?	?	?	?	?	?	-20.91	?	12.81	7.99	-1.37	20.16	24.47	4.58	4.72	53.94	18.19	26.19	1.68	100.00	8.08	?	?	13.99	4.12	26.19	?	1.95	28.14	71.86	100.00	2.06	1.70	1.39	?	89.25	38.94	43.19	85.00	4.09	9.37	4.31	0.82
2014-02-01	100.00	100.63	-0.63	30.87	18.88	54.76	-105.14	-0.31	-105.45	?	-86.20	0.66	-56.70	2.08	-89.77	-71.89	?	-38.47	-30.05	-9.24	27.62	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.01	-22.34	0.26	33.49	19.82	3.23	10.42	66.96	12.47	18.86	1.71	100.00	6.28	?	?	16.08	7.68	30.03	21.54	0.42	52.00	48.00	100.00	2.23	1.78	2.08	0.45	89.07	22.55	40.94	70.67	4.10	16.19	4.08	0.66
2015-02-01	100.00	51.90	48.10	28.13	21.32	11.33	-12.68	1.14	-11.54	?	-9.12	0.47	-4.31	1.91	-8.62	-5.85	?	-51.05	-43.44	-25.92	9.46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15.23	9.15	-1.00	44.14	11.74	1.86	5.88	63.63	8.49	22.16	5.73	100.00	3.59	?	?	10.05	7.18	20.81	26.07	0.73	47.61	52.39	100.00	3.06	2.69	1.91	0.50	80.72	38.59	74.75	44.55	4.52	9.46	4.45	0.47
