Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	55.79	44.21	54.32	12.79	?	-22.91	1.01	-21.90	?	-21.90	0.06	-1.27	1.13	-1.77	-1.77	?	-65.46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	-77.52	-84.74	19.61	11.69	-0.53	79.56	2.16	?	0.58	82.31	8.48	1.99	7.22	100.00	?	?	0.61	4.06	6.87	11.55	?	0.01	11.56	88.44	100.00	7.13	7.08	1.13	?	143.93	?	?	?	2.54	?	0.61	0.06
2006-12-01	100.00	29.30	70.70	29.87	9.46	?	31.38	5.55	36.93	3.96	36.02	0.60	21.52	1.23	25.55	22.10	?	1965.12	174.36	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4042.21	7820.13	17.95	44.85	1.25	73.53	2.02	?	1.11	76.66	11.49	5.50	6.35	100.00	?	?	2.28	6.90	8.86	18.04	?	0.59	18.63	81.37	100.00	4.25	4.19	1.23	?	9.89	?	?	?	36.91	?	5.82	0.60
2007-12-01	100.00	37.00	63.00	23.57	8.07	?	31.37	3.96	35.32	?	36.06	0.81	29.09	1.31	37.23	34.39	?	108.21	145.81	?	?	108.14	267.75	?	?	108.43	274.20	?	?	106.97	247.90	?	?	77.74	-6.10	33.38	20.22	0.56	60.29	3.87	?	0.81	64.97	25.56	7.08	2.39	100.00	?	?	2.13	11.40	10.24	23.77	?	0.13	23.89	76.11	100.00	2.73	2.70	1.31	?	9.14	?	?	?	39.95	?	4.01	0.81
2008-12-01	100.00	29.30	70.70	29.87	9.46	?	31.38	5.55	36.93	3.96	36.02	0.25	9.15	1.28	11.81	10.22	?	-51.97	174.36	83.23	?	-51.96	?	?	?	-52.02	?	?	?	-51.68	?	?	?	-52.86	-22.00	19.77	32.85	0.91	67.91	2.90	?	1.63	72.43	20.05	4.49	3.02	100.00	?	?	2.15	8.60	10.83	21.57	?	?	21.57	78.43	100.00	3.36	3.28	1.28	?	34.21	?	?	?	10.67	?	1.14	0.25
2009-12-01	100.00	36.13	63.87	20.63	8.95	?	34.29	2.11	36.40	9.97	32.77	0.63	20.77	1.30	26.73	25.64	?	281.73	56.29	93.65	?	317.20	60.98	151.03	?	247.32	51.44	144.47	?	245.03	51.11	134.02	?	296.14	361.27	14.91	39.69	1.21	74.63	3.60	?	0.43	78.66	16.20	3.03	2.12	100.00	?	?	2.40	9.78	10.55	22.73	?	0.07	22.80	77.20	100.00	3.46	3.44	1.30	?	14.52	?	?	?	25.14	?	3.58	0.63
2010-12-01	100.00	27.15	72.85	13.76	9.07	?	50.02	1.29	51.31	13.20	44.54	0.92	40.98	1.31	53.58	52.01	?	147.48	65.55	187.11	?	260.96	93.41	?	?	236.34	77.63	?	?	234.42	77.31	?	?	169.18	193.40	12.33	47.05	1.06	73.84	3.87	?	1.78	79.49	14.68	1.62	4.20	100.00	?	?	2.67	9.25	11.17	23.10	0.78	0.05	23.92	76.08	100.00	3.44	3.36	1.31	0.01	10.57	?	8.13	?	34.53	?	6.04	0.92
2011-12-01	100.00	26.87	73.13	11.67	9.20	?	52.25	1.60	53.85	15.22	45.78	0.84	38.61	1.53	56.03	50.16	?	83.20	158.67	76.87	?	91.39	206.60	95.86	?	88.32	180.20	85.56	?	88.07	178.93	85.05	?	74.00	56.71	16.15	40.25	0.88	60.75	3.21	?	3.94	67.90	11.76	14.34	6.00	100.00	1.94	0.74	?	8.97	7.24	18.88	9.76	5.85	34.48	65.52	100.00	3.60	3.39	1.53	0.15	11.28	?	25.67	?	32.35	?	6.64	0.84
2012-12-01	100.00	28.91	71.09	11.21	10.33	?	49.54	4.10	53.64	13.16	46.88	0.65	30.30	1.75	50.58	35.12	111.94	53.83	91.06	66.48	?	45.86	115.99	82.42	?	57.50	115.27	75.45	?	57.09	114.58	75.12	?	46.67	61.57	11.51	42.27	0.90	71.13	2.74	?	2.05	75.92	8.51	11.97	3.59	100.00	?	4.75	0.93	6.54	5.81	18.04	21.23	3.69	42.95	57.05	100.00	4.21	4.10	1.75	0.37	15.16	?	21.81	?	24.08	?	6.73	0.65
2013-12-01	100.00	35.91	64.09	16.20	12.86	?	35.04	3.11	38.15	15.01	32.93	0.55	18.03	1.85	32.63	20.81	28.25	43.21	59.21	107.13	94.81	1.27	41.40	111.75	?	0.60	43.97	103.45	?	0.35	43.66	102.69	?	14.98	7.24	11.52	31.66	0.96	54.13	3.13	?	3.36	60.62	7.57	28.87	2.95	100.00	?	0.48	0.60	6.63	7.83	15.54	24.27	6.06	45.87	54.13	100.00	3.90	3.68	1.85	0.45	19.85	?	9.20	?	18.39	?	6.90	0.55
2014-12-01	100.00	38.50	61.50	21.17	14.23	?	26.10	3.41	29.51	15.41	26.88	0.57	15.46	1.93	29.32	18.03	24.03	53.56	50.11	72.64	82.84	14.40	19.11	63.47	102.58	25.36	25.71	65.94	101.41	24.67	25.26	65.35	96.71	30.05	14.14	13.04	23.53	0.88	57.87	3.68	?	4.52	66.06	8.73	21.06	4.14	100.00	?	2.27	0.63	8.17	9.27	20.34	23.59	4.37	48.30	51.70	100.00	3.25	3.03	1.93	0.46	21.90	?	6.06	?	16.67	?	6.97	0.57
