Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	47.37	52.63	9.83	24.36	5.82	12.61	2.05	14.66	?	15.42	0.80	12.41	1.19	14.94	13.18	?	11.25	35.11	19.50	?	23.83	?	?	?	88.22	?	?	?	74.60	?	?	?	-10.99	-10.39	1.56	15.16	0.98	46.18	8.19	5.19	2.70	62.25	2.57	30.83	4.34	100.00	7.70	?	?	6.23	1.92	15.85	?	0.32	16.17	83.83	100.00	3.93	3.43	1.19	?	35.02	46.57	66.40	15.19	10.42	7.84	26.24	0.80
2006-12-01	100.00	48.95	51.05	13.74	30.45	0.21	6.64	3.35	10.00	?	10.33	0.85	8.79	1.16	10.33	7.20	?	37.33	31.58	30.70	?	-27.66	?	?	?	-7.94	?	?	?	-12.73	?	?	?	99.61	97.36	2.52	21.79	2.11	54.96	7.85	4.16	1.76	68.73	3.38	24.90	3.00	100.00	6.32	?	?	5.41	2.19	13.92	?	0.13	14.05	85.95	100.00	4.94	4.51	1.16	?	34.34	40.39	60.68	14.05	10.63	9.04	28.09	0.85
2007-12-01	100.00	48.52	51.48	13.05	35.71	0.48	2.25	3.56	5.81	2.79	5.65	0.78	4.39	1.20	5.19	2.09	?	2.96	16.30	28.38	58.81	-65.13	-32.15	?	?	-43.72	-0.83	?	?	-42.19	-4.14	?	?	-6.70	-15.87	4.23	17.80	3.15	48.12	7.63	4.78	2.60	63.13	5.00	29.42	2.46	100.00	6.48	?	?	5.79	3.38	15.66	?	0.92	16.58	83.42	100.00	4.03	3.56	1.20	?	36.33	43.24	61.92	17.66	10.05	8.44	18.58	0.78
2008-12-01	100.00	47.51	52.49	11.66	32.15	4.98	3.70	1.08	4.77	3.38	4.61	1.01	4.65	1.22	5.62	4.30	?	23.35	20.37	23.67	36.79	102.57	-20.05	?	12.67	0.68	-19.50	?	19.42	10.81	-17.62	?	12.17	10.54	24.46	1.78	17.96	3.90	43.21	8.47	8.33	2.61	62.62	5.34	30.53	1.51	100.00	7.07	?	?	5.47	3.78	16.32	?	1.57	17.90	82.10	100.00	3.84	3.17	1.22	?	29.04	49.27	51.47	26.84	12.57	7.41	19.55	1.01
2009-12-01	100.00	49.23	50.77	13.31	34.18	2.03	1.25	0.36	1.61	9.60	1.45	0.94	1.37	1.32	1.74	1.74	?	-3.60	6.98	13.34	24.10	-67.42	-38.72	-27.08	-6.59	-69.62	-44.37	-21.49	-2.41	-68.29	-41.22	-20.91	-5.95	7.32	9.98	1.48	20.50	14.10	37.63	9.92	7.07	2.22	56.84	4.47	28.88	9.81	100.00	8.53	?	?	12.16	1.70	22.40	?	1.70	24.09	75.91	100.00	2.54	2.12	1.32	?	35.80	60.15	61.74	34.21	10.19	6.07	19.35	0.94
2010-12-01	100.00	48.17	51.83	8.66	25.85	1.46	15.87	0.23	16.09	1.41	15.87	1.04	16.55	1.36	22.26	19.47	?	51.84	21.77	20.62	20.06	1829.41	133.50	26.28	?	1557.65	71.80	21.31	?	?	75.21	22.10	?	38.90	37.12	1.60	18.51	1.17	33.45	10.32	7.53	1.36	52.66	3.35	25.72	18.27	100.00	7.61	?	?	7.70	0.69	16.00	8.77	1.89	26.66	73.34	100.00	3.29	2.74	1.36	0.12	35.55	53.37	57.89	31.03	10.27	6.84	27.51	1.04
2011-12-01	100.00	49.07	50.93	9.23	26.84	1.96	12.90	0.04	12.94	3.03	12.55	0.87	10.92	1.39	15.02	13.02	?	8.37	16.63	15.04	22.62	-11.91	76.91	31.36	?	-14.31	62.81	19.59	?	-17.09	59.06	20.85	?	34.08	32.74	2.21	22.67	1.81	50.10	7.50	4.66	1.37	63.63	4.07	24.19	8.11	100.00	4.89	?	0.18	6.86	0.23	12.16	13.23	2.48	27.87	72.13	100.00	5.23	4.74	1.39	0.18	36.99	51.29	52.67	35.61	9.87	7.12	23.30	0.87
2012-12-01	100.00	50.30	49.70	8.69	28.95	3.61	8.44	-0.25	8.19	?	8.98	0.79	7.10	1.43	10.01	8.19	?	8.35	21.26	16.22	22.15	-29.07	129.30	51.40	?	-22.44	122.51	27.51	?	-24.24	112.65	27.57	?	5.06	0.72	3.05	21.07	2.35	21.18	6.60	4.70	1.25	33.73	4.33	49.18	12.76	100.00	4.90	2.68	0.14	6.50	0.79	15.01	12.43	2.62	30.06	69.94	100.00	2.25	1.85	1.43	0.18	32.32	42.96	44.91	30.38	11.29	8.50	18.77	0.79
2013-12-01	100.00	49.22	50.78	8.50	29.93	6.66	5.68	-0.33	5.36	4.72	5.11	0.73	3.74	1.37	5.23	4.39	?	3.73	6.80	12.26	17.83	-30.18	-24.16	22.35	?	-41.03	-26.82	14.57	?	-41.60	-28.41	12.23	?	-7.56	5.81	?	21.49	4.21	21.16	6.92	4.57	1.42	34.06	5.16	42.95	17.83	100.00	5.09	?	0.17	7.57	0.18	13.01	12.13	2.04	27.18	72.82	100.00	2.62	2.16	1.37	0.17	33.73	46.96	50.63	30.07	10.82	7.77	15.41	0.73
2014-12-01	100.00	48.62	51.38	8.50	28.16	6.49	8.23	-0.32	7.91	2.25	7.74	0.70	5.44	1.38	7.48	6.39	?	1.48	4.48	13.42	13.38	47.03	-10.03	65.40	9.82	53.77	-11.07	58.46	11.54	47.95	-13.17	52.72	9.91	7.84	-6.83	3.11	19.73	2.55	28.92	6.45	4.26	1.05	40.67	4.14	35.07	20.12	100.00	4.03	?	0.22	7.88	0.29	12.43	12.77	2.22	27.42	72.58	100.00	3.27	2.85	1.38	0.18	34.62	47.03	48.45	33.20	10.54	7.76	15.20	0.70
