Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-08-01	100.00	87.55	12.45	9.66	?	?	2.79	0.14	2.93	31.37	2.01	3.35	6.73	1.86	12.88	11.08	?	10.04	10.95	10.48	11.45	6.40	9.22	7.28	28.04	20.48	14.95	10.98	23.03	17.84	13.78	10.06	20.42	?	?	1.88	1.49	0.74	20.95	2.42	24.31	1.28	48.97	47.17	?	3.86	100.00	25.52	0.35	?	7.81	6.35	40.02	4.30	1.89	46.22	53.78	100.00	1.22	0.58	1.86	0.08	2.53	30.16	30.77	1.92	144.01	12.10	7.03	3.35
2006-08-01	100.00	87.69	12.31	9.60	?	0.01	2.70	0.21	2.91	37.01	1.83	3.54	6.49	1.91	12.24	10.74	?	13.63	12.24	11.57	11.89	10.26	12.02	10.38	12.72	3.77	15.23	12.88	16.06	5.50	14.55	12.26	14.19	247.00	?	2.02	1.02	0.56	16.19	3.23	26.11	1.51	47.05	48.95	?	3.99	100.00	26.19	2.00	?	8.03	8.48	44.69	1.23	1.81	47.74	52.26	100.00	1.05	0.43	1.91	0.02	2.93	29.70	30.43	2.20	124.62	12.29	7.36	3.54
2007-08-01	100.00	87.65	12.35	9.83	?	0.02	2.50	0.16	2.66	36.68	1.68	3.47	5.84	2.27	12.19	10.14	?	7.06	10.21	10.69	11.40	-1.05	5.10	7.29	10.73	-1.85	7.06	9.12	13.24	3.04	8.61	9.87	12.50	?	?	2.15	1.07	0.64	17.11	3.89	24.89	1.67	47.56	48.55	?	3.89	100.00	26.14	0.58	?	7.62	9.43	43.77	10.75	1.50	56.02	43.98	100.00	1.09	0.48	2.27	0.24	3.76	30.55	31.38	2.93	97.03	11.95	7.12	3.47
2008-08-01	100.00	87.61	12.39	9.67	?	?	2.72	0.04	2.76	35.83	1.77	3.60	6.37	2.25	14.40	11.50	?	12.55	11.04	11.24	11.56	22.40	10.12	11.23	9.60	18.47	6.46	12.21	10.80	21.94	9.85	13.56	10.98	480.00	?	2.21	0.80	0.45	15.83	3.62	24.37	1.93	45.75	50.07	?	4.18	100.00	25.26	0.68	?	7.75	9.21	42.91	10.67	1.98	55.56	44.44	100.00	1.07	0.45	2.25	0.24	3.80	28.51	29.74	2.56	96.01	12.80	7.29	3.60
2009-08-01	100.00	87.28	12.72	10.21	?	0.02	2.49	-0.09	2.40	36.64	1.52	3.35	5.09	2.19	11.31	9.44	16.87	-1.46	5.89	8.22	10.03	-9.74	3.01	5.10	7.53	-15.34	-0.52	4.24	10.58	-14.53	2.41	5.95	11.00	-387.00	?	1.75	1.18	0.78	16.96	3.79	24.59	1.69	47.03	49.59	?	3.38	100.00	24.80	0.44	?	7.83	9.16	42.23	10.04	2.16	54.42	45.58	100.00	1.11	0.49	2.19	0.22	4.04	30.58	31.25	3.37	90.30	11.94	6.72	3.35
2010-08-01	100.00	87.23	12.77	10.09	?	0.01	2.66	-0.03	2.64	35.59	1.67	3.40	5.69	2.20	12.50	10.74	19.50	9.13	6.57	8.05	9.26	16.88	8.89	7.10	7.19	19.98	6.37	4.15	7.51	18.22	7.20	6.02	8.02	?	?	1.35	2.21	1.32	19.94	3.71	23.67	1.83	49.16	47.51	?	3.33	100.00	24.97	0.11	?	7.95	9.23	42.25	8.99	3.28	54.53	45.47	100.00	1.16	0.56	2.20	0.20	4.02	29.64	30.59	3.07	90.74	12.31	7.02	3.40
2011-08-01	100.00	87.43	12.57	9.82	?	0.01	2.74	-0.06	2.68	35.29	1.64	3.52	5.78	2.23	12.81	11.13	21.54	14.07	7.05	8.13	9.84	17.43	7.40	8.45	9.41	12.20	4.46	5.79	9.28	13.01	4.52	7.49	9.85	?	?	1.45	2.15	1.31	20.97	3.61	24.80	1.83	51.22	46.46	?	2.33	100.00	24.45	3.36	0.46	10.26	6.49	45.03	4.68	5.44	55.15	44.85	100.00	1.14	0.55	2.23	0.10	3.80	28.82	29.32	3.29	96.18	12.67	7.49	3.52
2012-08-01	100.00	87.58	12.42	9.64	?	?	2.78	0.01	2.79	36.14	1.72	3.68	6.34	2.20	14.03	12.22	30.13	11.50	11.55	9.01	9.85	13.12	15.79	11.39	9.32	16.89	16.32	9.56	9.34	17.88	16.35	10.42	10.15	-441.00	?	1.49	1.59	0.92	17.89	3.78	26.15	2.03	49.84	47.76	0.24	2.16	100.00	26.91	?	1.79	9.30	7.18	45.17	5.09	4.19	54.45	45.55	100.00	1.10	0.48	2.20	0.11	3.67	28.87	29.11	3.43	99.59	12.64	7.81	3.68
2013-08-01	100.00	87.44	12.56	9.66	?	?	2.90	?	2.90	32.45	1.94	3.66	7.10	2.80	17.58	14.04	31.82	6.07	10.50	7.73	9.47	10.66	13.70	9.17	10.19	19.31	16.10	9.71	10.96	19.02	16.61	9.88	11.71	?	?	1.98	1.29	0.66	20.22	3.97	26.07	2.05	52.31	45.84	0.21	1.65	100.00	25.99	?	1.52	9.07	7.20	43.78	16.50	3.95	64.23	35.77	100.00	1.19	0.55	2.80	0.46	3.87	29.75	30.12	3.50	94.44	12.27	7.84	3.66
2014-08-01	100.00	87.41	12.59	9.73	?	?	2.86	-0.02	2.84	34.69	1.83	3.56	6.50	2.68	17.79	12.63	29.29	7.12	8.20	9.54	8.88	5.47	9.70	12.62	8.80	0.93	12.07	13.64	8.84	0.43	12.11	13.49	9.65	?	?	1.77	1.77	0.97	22.15	3.48	25.61	2.03	53.26	44.91	?	1.84	100.00	25.71	?	1.75	9.10	7.08	43.64	15.42	3.68	62.75	37.25	100.00	1.22	0.59	2.68	0.41	3.81	30.31	30.33	3.78	95.90	12.04	7.85	3.56
