Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-07-01	100.00	32.78	67.22	22.90	13.39	1.02	29.90	2.50	32.40	28.56	23.15	0.71	16.53	1.46	23.43	23.43	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.79	27.72	1.20	20.57	6.54	3.83	7.52	38.46	9.80	17.25	34.50	100.00	2.17	?	?	10.07	15.83	28.07	?	3.54	31.61	68.39	100.00	1.37	0.97	1.46	?	29.74	56.21	31.25	54.70	12.27	6.49	7.50	0.71
2006-07-01	100.00	34.18	65.82	25.28	14.28	1.70	24.56	2.24	26.80	26.90	19.59	0.74	14.46	1.81	23.70	18.68	?	14.85	14.70	5.02	21.40	-5.66	12.74	?	17.45	-2.80	15.97	?	19.84	2.30	21.19	?	19.30	4.37	3.65	2.71	25.02	1.28	41.13	7.63	3.17	7.36	59.28	7.94	26.29	6.49	100.00	2.03	?	?	9.88	14.20	26.12	14.62	4.06	44.80	55.20	100.00	2.27	1.87	1.81	0.26	35.36	50.01	30.27	55.10	10.32	7.30	8.43	0.74
2007-07-01	100.00	36.04	63.96	24.99	12.88	1.40	24.69	2.41	27.09	22.49	21.00	0.72	15.17	1.69	26.48	22.38	?	22.60	16.57	13.05	18.42	23.23	11.07	24.18	18.14	31.42	18.55	31.11	21.47	31.46	23.58	36.16	21.34	27.91	24.22	3.58	25.35	1.21	41.74	7.48	2.48	7.49	59.19	7.30	27.49	6.02	100.00	1.47	?	?	10.20	13.37	25.04	12.01	3.93	40.98	59.02	100.00	2.36	1.97	1.69	0.20	38.11	39.05	24.16	53.00	9.58	9.35	9.52	0.72
2008-07-01	100.00	35.55	64.45	26.27	13.03	1.27	23.88	2.06	25.94	21.48	20.36	0.71	14.37	1.71	24.46	20.85	?	13.22	16.82	15.94	16.67	9.52	8.38	14.10	16.20	9.81	11.94	17.61	19.55	11.97	14.62	21.24	20.09	19.65	22.23	3.21	27.37	1.34	44.67	6.51	2.10	7.51	60.78	7.07	24.66	7.50	100.00	1.48	0.85	?	4.13	17.13	23.59	10.88	7.03	41.51	58.49	100.00	2.58	2.17	1.71	0.19	36.05	33.20	21.49	47.76	10.13	10.99	9.83	0.71
2009-07-01	100.00	36.06	63.94	27.60	14.42	1.65	20.27	1.03	21.30	20.27	16.98	0.57	9.67	1.76	16.81	14.21	23.23	-8.66	8.24	10.38	11.51	-22.45	1.53	3.08	9.39	-23.82	3.21	6.87	11.34	-19.85	5.67	11.11	12.98	-18.13	-17.83	2.78	24.62	1.45	51.38	4.66	1.58	7.23	64.84	5.93	21.47	7.75	100.00	0.99	?	0.24	3.72	15.09	20.04	15.11	8.12	43.27	56.73	100.00	3.24	2.80	1.76	0.27	35.36	32.36	21.64	46.08	10.32	11.28	8.82	0.57
2010-07-01	100.00	35.96	64.04	26.76	13.17	1.23	22.89	0.63	23.51	17.50	19.40	0.54	10.41	1.83	18.74	15.27	16.11	10.86	4.66	10.05	7.78	25.16	2.06	4.32	10.97	26.62	1.94	6.23	11.28	26.67	4.37	8.86	13.96	2.79	3.07	2.52	22.89	1.18	49.13	6.08	1.64	6.54	63.38	4.86	24.59	7.17	100.00	1.10	3.82	0.11	3.86	14.82	23.71	15.02	6.71	45.44	54.56	100.00	2.67	2.33	1.83	0.28	36.95	30.44	19.90	47.48	9.88	11.99	10.03	0.54
2011-07-01	100.00	38.60	61.40	27.12	13.47	3.05	17.76	0.35	18.11	17.06	15.02	0.51	7.72	1.84	14.19	11.34	13.46	7.94	3.01	8.70	6.84	-16.26	-6.68	1.87	?	-16.44	-6.94	3.07	?	-12.03	-3.70	5.62	?	-0.92	-2.84	2.72	20.60	1.37	51.19	8.97	1.71	3.85	65.71	4.50	22.23	7.57	100.00	1.01	0.68	0.14	3.63	14.65	20.10	18.64	7.04	45.78	54.22	100.00	3.27	2.99	1.84	0.34	40.65	30.77	19.37	52.05	8.98	11.86	11.00	0.51
2012-07-01	100.00	38.76	61.24	25.99	11.91	1.49	21.85	0.20	22.06	20.85	17.46	0.52	8.99	1.79	16.32	12.93	18.05	6.58	8.44	5.69	9.31	31.16	11.19	3.15	13.18	23.90	9.44	1.86	15.56	27.35	12.37	4.95	19.54	14.01	16.40	2.44	22.50	1.29	53.09	8.75	1.81	3.84	67.50	3.71	20.66	8.14	100.00	0.94	0.03	0.30	3.19	14.86	19.32	17.76	7.02	44.11	55.89	100.00	3.49	3.20	1.79	0.32	35.92	32.19	17.74	50.38	10.16	11.34	12.59	0.52
2013-07-01	100.00	39.43	60.57	24.28	12.22	1.03	23.03	0.06	23.10	11.08	20.54	0.50	10.35	1.71	18.08	14.69	20.26	5.53	6.68	4.22	9.92	11.24	6.90	3.47	8.65	24.15	8.73	4.39	10.81	24.83	11.83	7.26	14.04	12.21	13.21	2.39	24.14	1.18	50.01	9.40	1.46	3.88	64.75	3.28	25.02	6.94	100.00	1.02	3.24	0.19	3.34	14.14	21.93	12.78	6.87	41.58	58.42	100.00	2.95	2.71	1.71	0.22	36.94	29.89	17.98	48.85	9.88	12.21	14.46	0.50
2014-07-01	100.00	41.09	58.91	24.26	13.35	1.47	19.82	0.78	20.61	19.17	16.66	0.46	7.61	1.86	13.57	10.87	18.23	-3.01	2.94	5.47	7.90	-16.53	6.79	5.00	4.03	-21.34	6.56	5.07	5.96	-19.89	8.39	7.25	9.16	-4.36	-5.77	2.70	23.45	1.41	49.53	8.86	1.51	3.94	63.84	3.09	26.18	6.90	100.00	0.98	0.48	0.15	3.03	14.20	18.84	19.40	7.87	46.11	53.89	100.00	3.39	3.10	1.86	0.36	41.14	28.89	19.42	50.62	8.87	12.63	14.34	0.46
2015-07-01	100.00	39.70	60.30	24.15	12.84	1.59	21.72	0.98	22.69	19.35	18.30	0.47	8.56	1.81	15.55	11.96	20.76	5.13	?	?	?	15.07	?	?	?	?	?	?	?	11.90	?	?	?	?	?	2.53	22.18	1.21	51.24	8.60	1.66	3.78	65.28	3.08	25.44	6.20	100.00	1.05	4.16	0.08	2.57	14.03	21.89	15.62	7.12	44.62	55.38	100.00	2.98	2.73	1.81	0.28	34.99	31.06	20.49	45.56	10.43	11.75	14.78	0.47
