Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-03-01	100.00	40.02	59.98	21.89	25.69	1.39	11.01	2.17	13.18	37.79	8.00	0.67	5.39	1.29	6.83	5.68	?	-5.69	5.94	17.42	18.69	-51.42	-10.69	?	19.75	-53.17	-9.38	?	19.27	-52.83	-11.58	?	14.87	-5.99	-6.89	4.17	16.03	2.00	55.45	4.54	1.39	7.30	68.67	8.94	20.04	2.35	100.00	3.72	?	?	14.91	1.19	19.81	?	2.49	22.30	77.70	100.00	3.47	3.03	1.29	?	30.61	19.01	45.90	3.72	11.92	19.20	7.92	0.67
2007-03-01	100.00	39.21	60.79	24.39	33.68	1.46	1.26	3.20	4.46	47.83	2.46	0.65	1.59	1.28	2.04	0.23	?	4.74	1.49	12.38	17.34	-88.00	-63.09	-22.04	-5.31	-67.80	-49.13	-5.62	3.67	-68.00	-49.56	-7.53	?	-33.39	-53.70	5.76	7.09	2.88	57.83	4.97	1.20	5.89	69.90	9.41	18.34	2.35	100.00	3.50	?	?	14.69	1.75	19.94	?	1.71	21.65	78.35	100.00	3.51	3.15	1.28	?	26.86	18.52	51.65	-6.26	13.59	19.71	7.06	0.65
2008-03-01	100.00	49.25	50.75	25.29	31.24	7.50	-13.29	-0.55	-13.83	?	-12.39	0.65	-8.10	1.40	-10.85	-13.03	?	18.57	5.41	8.11	14.96	?	?	?	?	?	?	?	?	?	?	?	?	-14.86	15.98	2.29	6.93	-0.56	49.78	5.05	2.77	7.18	64.78	6.54	23.39	5.30	100.00	3.78	?	?	10.07	7.59	21.44	?	6.95	28.39	71.61	100.00	3.02	2.56	1.40	?	27.99	23.25	41.35	9.89	13.04	15.70	8.33	0.65
2009-03-01	100.00	50.50	49.50	24.29	32.26	12.58	-19.63	-0.66	-20.30	?	-25.83	0.78	-20.27	1.49	-29.12	-30.05	?	14.93	12.59	7.33	13.17	?	?	?	?	?	?	?	?	?	?	?	?	-96.45	?	2.73	-2.45	0.09	53.87	2.48	4.64	5.71	66.70	7.57	21.98	3.76	100.00	3.25	?	?	15.46	5.58	24.28	?	8.72	33.01	66.99	100.00	2.75	2.32	1.49	?	18.28	33.03	32.69	18.63	19.96	11.05	11.23	0.78
2010-03-01	100.00	51.07	48.93	28.74	33.63	5.34	-18.77	-0.55	-19.32	?	-18.53	0.78	-14.52	1.70	-23.09	-23.42	?	-13.25	5.74	3.15	9.91	?	?	?	?	?	?	?	?	?	?	?	?	1166.67	?	8.35	-4.19	0.23	42.96	4.43	2.15	6.09	55.64	11.56	27.92	4.89	100.00	1.96	?	?	13.22	18.70	33.88	?	7.38	41.26	58.74	100.00	1.64	1.40	1.70	?	16.08	31.00	23.77	23.32	22.70	11.77	8.20	0.78
2011-03-01	100.00	41.77	58.23	29.20	32.13	5.60	-8.69	0.92	-7.77	?	-7.69	0.75	-5.77	1.92	-10.43	-10.43	?	-1.78	-0.70	3.99	10.50	?	?	?	?	?	?	?	?	?	?	?	?	110.53	?	1.64	7.27	-0.95	45.39	6.80	1.56	7.77	61.53	10.41	25.45	2.62	100.00	4.63	?	?	15.58	20.39	40.60	?	7.37	47.97	52.03	100.00	1.52	1.29	1.92	?	27.51	21.55	38.84	10.22	13.27	16.94	6.84	0.75
2012-03-01	100.00	38.57	61.43	29.64	29.25	1.69	0.84	-0.41	0.43	?	1.83	0.80	1.46	2.23	3.03	2.73	1.90	15.44	-0.55	6.03	9.16	?	?	-2.14	-12.66	?	?	?	-2.85	?	?	-0.85	-4.25	-13.44	-59.77	4.15	2.53	1.38	33.67	6.67	1.07	6.10	47.51	10.34	38.01	4.13	100.00	3.92	?	?	15.61	19.09	38.61	9.82	6.81	55.24	44.76	100.00	1.23	1.04	2.23	0.22	30.88	15.53	50.59	-4.18	11.82	23.50	7.67	0.80
2013-03-01	100.00	36.56	63.44	30.08	30.37	-0.18	3.19	0.47	3.66	29.50	2.58	0.72	1.86	2.24	4.15	3.51	24.17	-8.35	1.29	0.71	4.34	245.71	?	?	-12.43	28.95	?	?	-11.08	34.78	?	?	-11.77	16.97	107.62	2.79	5.74	2.22	33.14	6.15	0.83	5.74	45.86	10.81	38.93	4.40	100.00	2.68	?	?	14.54	20.59	37.81	11.03	6.45	55.29	44.71	100.00	1.21	1.04	2.24	0.25	32.59	13.28	46.15	-0.28	11.20	27.49	6.80	0.72
2014-03-01	100.00	37.68	62.32	30.49	31.47	-0.56	0.92	-0.73	0.20	?	0.22	0.66	0.15	2.36	0.34	1.01	1.23	-5.85	-0.13	-3.23	1.92	-72.73	?	?	-27.07	-91.84	?	?	-34.81	-90.32	?	?	-33.85	119.75	182.11	2.71	17.20	76.88	41.38	5.72	0.98	6.82	54.90	8.92	33.24	2.94	100.00	2.08	?	?	11.55	28.18	41.81	10.15	5.67	57.63	42.37	100.00	1.31	1.13	2.36	0.24	42.12	13.28	34.55	20.84	8.67	27.49	6.76	0.66
2015-03-01	100.00	31.65	68.35	22.88	24.23	0.24	21.00	-0.51	20.49	5.41	19.38	0.76	14.75	2.02	32.06	24.71	30.84	26.29	2.91	4.32	3.74	2772.73	200.32	?	3.55	10837.50	125.80	?	5.67	?	126.99	?	5.40	49.86	58.05	2.10	21.53	1.11	49.15	5.89	0.59	4.90	60.52	7.47	29.67	2.34	100.00	1.11	9.79	?	11.06	22.73	44.69	?	5.92	50.61	49.39	100.00	1.35	1.23	2.02	?	35.37	11.75	23.88	23.24	10.32	31.07	9.32	0.76
2016-02-29	100.00	31.65	68.35	22.88	24.23	0.24	21.00	-0.51	20.49	5.41	19.38	0.76	14.75	2.02	32.06	24.71	30.84	5.52	?	?	?	16.28	?	?	?	?	?	?	?	10.53	?	?	?	?	?	2.10	21.53	1.11	49.15	5.89	0.59	4.90	60.52	7.47	29.67	2.34	100.00	1.11	9.79	?	11.06	22.73	44.69	?	5.92	50.61	49.39	100.00	1.35	1.23	2.02	?	35.37	11.75	23.88	23.24	10.32	31.07	9.32	0.76
