Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	17.97	82.03	40.03	7.21	3.12	31.67	2.37	34.03	30.16	23.77	0.46	10.94	1.17	12.90	12.00	?	39.16	55.36	60.20	?	36.11	59.67	108.55	?	39.04	62.99	86.24	?	36.84	54.26	78.95	?	?	?	7.43	36.72	1.54	17.71	4.90	?	4.38	27.00	6.80	58.90	7.30	100.00	0.47	?	?	4.91	7.22	12.60	?	2.17	14.77	85.23	100.00	2.14	1.80	1.17	?	22.60	?	20.89	?	16.15	?	6.02	0.46
2006-12-01	100.00	21.05	78.95	43.52	8.29	3.30	23.84	2.08	25.92	27.24	18.86	0.47	8.90	1.24	10.74	9.88	?	31.13	40.23	51.47	?	-1.30	31.26	58.91	?	4.03	36.58	65.58	?	1.28	33.10	58.09	?	?	363.00	8.63	29.02	1.54	23.75	5.87	?	7.21	36.84	7.40	53.56	2.21	100.00	0.62	?	?	5.05	12.99	18.66	?	0.53	19.19	80.81	100.00	1.97	1.59	1.24	?	21.89	?	20.20	?	16.68	?	6.63	0.47
2007-12-01	100.00	22.98	77.02	40.16	8.08	20.79	7.99	1.79	9.79	53.62	4.54	0.53	2.41	1.31	3.08	2.29	?	28.52	32.86	44.59	105.54	-56.91	-16.66	11.60	83.72	-69.06	-23.51	6.86	81.45	-68.35	-24.02	3.30	58.49	?	?	5.92	28.51	6.28	31.76	5.91	?	8.69	46.35	7.29	44.60	1.76	100.00	1.02	?	?	5.09	14.07	20.17	?	3.66	23.83	76.17	100.00	2.30	1.87	1.31	?	20.78	?	24.84	?	17.56	?	7.24	0.53
2008-12-01	100.00	26.09	73.91	33.72	8.50	7.39	24.30	1.26	25.56	18.51	20.83	0.55	11.50	1.41	15.62	13.65	272.69	11.33	23.34	31.59	68.10	238.51	12.92	26.96	78.85	410.97	18.04	32.14	93.65	444.00	20.36	32.34	87.74	912.00	590.00	6.63	27.12	1.30	21.50	15.86	?	2.95	40.32	7.69	49.78	2.22	100.00	1.09	6.41	0.64	3.45	12.16	23.76	?	5.15	28.92	71.08	100.00	1.70	1.57	1.41	?	19.57	?	26.78	?	18.65	?	7.37	0.55
2009-12-01	100.00	28.41	71.59	37.86	9.20	7.83	16.69	16.30	32.99	17.02	27.37	0.51	14.05	1.34	19.21	18.47	?	2.18	13.49	21.68	44.19	-29.82	0.79	6.58	85.01	34.26	28.51	25.15	71.59	34.56	32.31	26.27	68.36	91.00	107.00	6.50	26.82	0.98	26.86	17.32	?	1.78	45.96	7.14	37.54	9.36	100.00	1.05	?	1.14	5.33	12.26	19.78	?	5.32	25.10	74.90	100.00	2.32	2.23	1.34	?	17.62	?	26.70	?	20.71	?	6.95	0.51
2010-12-01	100.00	28.01	71.99	33.05	9.92	6.59	22.43	0.49	22.92	14.18	19.67	0.45	8.91	1.44	12.38	11.12	?	4.91	6.07	15.00	35.73	40.97	49.61	7.33	49.61	-24.62	72.93	10.73	43.60	-25.68	75.87	11.76	41.42	-558.00	?	7.91	22.08	1.12	30.10	18.00	?	2.19	50.29	6.92	30.60	12.19	100.00	0.84	1.36	0.18	6.11	12.03	20.53	6.79	3.14	30.46	69.54	100.00	2.45	2.34	1.44	0.10	17.18	?	26.85	?	21.25	?	6.45	0.45
2011-12-01	100.00	29.70	70.30	32.61	10.60	6.72	20.37	13.19	33.56	17.41	27.72	0.47	13.09	1.52	19.44	17.02	157.21	27.25	10.91	14.31	31.58	15.58	4.57	10.77	32.68	79.31	21.98	23.47	42.98	80.88	21.84	25.51	40.86	?	?	8.27	19.83	0.72	21.70	22.68	?	1.96	46.34	7.27	35.77	10.62	100.00	1.04	2.07	1.45	3.21	16.88	24.65	5.58	4.14	34.37	65.63	100.00	1.88	1.80	1.52	0.09	17.79	?	24.69	?	20.51	?	6.64	0.47
2012-12-01	100.00	29.96	70.04	31.84	11.18	6.50	20.52	1.39	21.92	15.40	18.54	0.44	8.10	1.78	13.45	11.23	49.95	20.77	17.26	12.90	27.76	21.68	25.62	36.33	23.35	-19.21	2.98	49.59	26.44	-19.11	2.83	51.42	25.07	?	?	8.93	18.34	0.99	25.38	29.88	?	2.47	57.72	6.72	26.07	9.49	100.00	0.81	1.11	0.57	2.91	24.07	29.47	11.08	3.18	43.72	56.28	100.00	1.96	1.88	1.78	0.20	19.50	?	25.28	?	18.72	?	6.29	0.44
2013-12-01	100.00	31.38	68.62	29.68	11.02	6.91	21.01	0.59	21.60	17.60	17.80	0.41	7.27	1.75	12.83	10.71	35.66	14.04	20.57	13.44	22.18	16.72	17.96	10.18	18.28	9.47	16.61	9.92	20.52	9.55	17.03	9.90	20.60	?	?	7.79	23.34	1.31	21.75	31.21	?	3.16	56.12	6.65	24.60	12.62	100.00	0.74	0.01	0.26	6.75	22.70	30.46	9.92	2.62	43.00	57.00	100.00	1.84	1.74	1.75	0.17	19.57	?	22.11	?	18.65	?	6.11	0.41
2014-12-01	100.00	32.02	67.98	30.33	11.17	6.85	19.63	0.09	19.72	98.70	0.26	0.41	0.11	2.27	0.21	0.14	29.71	11.56	15.39	15.45	18.53	4.24	13.97	19.26	12.74	-98.39	-75.76	-54.62	-24.64	-98.17	-74.67	-53.45	-23.33	?	?	7.10	24.61	95.78	22.37	33.11	?	3.30	58.79	6.43	21.40	13.39	100.00	0.89	1.88	0.34	11.95	23.78	38.84	15.02	2.03	55.89	44.11	100.00	1.51	1.43	2.27	0.34	17.29	?	22.61	?	21.11	?	6.32	0.41
