Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2011-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2012-12-01	100.00	32.83	67.17	43.98	25.00	?	-1.82	-1.58	-3.39	?	-3.54	?	?	?	?	?	-4.21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	18.69	-5.71	1.79	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2013-12-01	100.00	38.22	61.78	39.16	22.03	?	0.59	-0.54	0.05	?	-0.64	1.18	-0.75	26.52	-19.89	-13.06	1.19	67.59	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13.66	-0.42	0.67	51.69	15.44	?	5.20	72.33	21.77	5.50	0.40	100.00	5.04	?	?	4.75	8.32	18.10	?	78.13	96.23	3.77	100.00	4.00	3.71	26.52	0.01	32.41	?	40.84	?	11.26	?	5.41	1.18
2014-12-01	100.00	37.65	62.35	46.82	18.73	?	-3.20	-2.05	-5.25	?	-7.79	1.10	-8.58	1.67	-19.90	-18.73	-16.39	56.45	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4.90	1.28	-0.16	35.66	10.43	?	6.09	52.18	30.32	14.55	2.96	100.00	3.30	?	?	7.00	6.33	16.64	?	23.47	40.10	59.90	100.00	3.14	2.77	1.67	0.02	24.73	?	33.65	?	14.76	?	3.97	1.10
2015-12-01	100.00	35.93	64.07	53.27	?	15.76	-4.95	-9.57	-14.52	?	-23.48	0.44	-10.31	1.62	-16.75	-16.04	-34.31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	6.20	1.89	-0.08	54.75	4.72	?	5.42	64.89	16.15	6.11	12.85	100.00	1.13	?	?	5.17	3.58	9.87	?	28.56	38.43	61.57	100.00	6.57	6.02	1.62	0.02	22.03	?	26.03	?	16.57	?	2.72	0.44
