Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	22.21	77.79	42.89	?	16.17	18.73	0.79	19.53	44.94	10.79	0.25	2.65	1.35	3.29	2.51	?	15.00	12.24	?	?	65.11	27.01	?	?	39.92	43.93	?	?	?	41.38	?	?	5.86	6.42	2.47	37.63	3.49	3.83	2.24	?	1.53	7.61	1.17	90.71	0.51	100.00	8.29	2.97	?	?	7.28	18.54	?	7.54	26.08	73.92	100.00	0.41	0.33	1.35	?	188.80	?	454.09	?	1.93	?	24.59	0.25
2006-12-01	100.00	22.46	77.54	48.08	6.27	7.48	15.70	1.50	17.20	36.23	10.95	0.28	3.06	1.40	4.21	3.73	?	5.57	-1.48	33.06	?	-11.52	13.00	85.93	?	7.08	30.03	94.05	?	7.69	28.49	87.76	?	-27.35	-34.20	4.14	23.45	2.14	10.32	2.56	?	1.43	14.30	1.66	83.32	0.72	100.00	8.72	?	?	?	8.22	16.93	6.05	5.62	28.60	71.40	100.00	0.84	0.76	1.40	0.08	31.44	?	495.09	?	11.61	?	19.62	0.28
2007-12-01	100.00	21.10	78.90	49.29	6.85	2.91	19.85	-1.20	18.65	40.87	11.10	0.32	3.57	1.72	5.52	4.95	?	19.12	13.09	12.20	?	50.59	30.06	22.25	?	20.79	21.87	30.99	?	34.29	?	32.52	?	15.33	19.17	3.25	23.46	2.11	7.44	3.30	?	1.87	12.61	2.16	84.11	1.12	100.00	10.27	?	?	3.48	7.64	21.39	13.08	7.45	41.92	58.08	100.00	0.59	0.50	1.72	0.23	32.83	?	510.45	?	11.12	?	16.84	0.32
2008-12-01	100.00	21.61	78.39	49.60	7.11	104.37	-82.70	-2.92	-85.62	?	-85.73	0.41	-35.49	2.53	-70.46	-50.66	-33.93	10.19	11.49	4.65	?	?	?	?	?	?	?	?	?	?	?	?	?	-26.88	-42.30	5.44	12.29	-0.14	12.86	4.53	?	2.94	20.34	4.21	74.17	1.28	100.00	13.16	?	?	4.26	9.15	26.57	26.20	7.72	60.50	39.50	100.00	0.77	0.65	2.53	0.66	33.26	?	468.04	?	10.97	?	13.74	0.41
2009-12-01	100.00	20.55	79.45	44.58	10.82	4.72	19.33	-3.84	15.50	33.71	10.13	0.50	5.06	2.21	11.95	9.43	6.44	0.63	9.72	9.91	?	?	17.60	18.90	?	?	6.94	12.88	?	?	13.74	?	?	29.83	61.83	3.11	19.76	1.95	11.59	5.18	?	3.85	20.63	3.99	74.56	0.81	100.00	13.70	?	?	5.48	11.73	30.91	15.08	8.83	54.82	45.18	100.00	0.67	0.54	2.21	0.33	35.51	?	477.54	?	10.28	?	12.19	0.50
2010-12-01	100.00	20.69	79.31	45.35	10.83	1.27	21.86	-3.33	18.53	31.42	12.59	0.53	6.70	2.49	15.74	12.31	7.13	13.29	7.90	9.58	?	28.09	11.43	13.01	?	40.72	12.52	13.00	?	41.75	15.81	17.57	?	15.01	6.56	4.64	18.59	1.48	18.49	4.94	?	2.15	25.58	4.17	66.76	3.49	100.00	13.27	?	?	4.85	10.29	28.41	24.73	6.68	59.82	40.18	100.00	0.90	0.82	2.49	0.62	34.68	?	446.71	?	10.52	?	13.03	0.53
2011-12-01	100.00	22.07	77.93	52.34	11.05	0.64	13.91	-2.25	11.66	18.84	13.69	0.52	7.18	2.96	19.39	13.64	5.43	3.01	5.50	9.04	20.45	-34.47	?	6.42	40.67	12.05	?	14.03	48.76	16.78	?	19.49	49.78	32.49	32.13	6.03	23.84	1.74	20.57	5.22	?	9.18	34.96	4.92	55.67	4.45	100.00	14.63	?	?	5.12	19.50	39.25	19.20	7.73	66.18	33.82	100.00	0.89	0.66	2.96	0.57	35.34	?	439.65	?	10.33	?	11.55	0.52
2012-12-01	100.00	22.30	77.70	54.17	12.03	0.79	10.71	-2.03	8.69	13.45	6.95	0.59	4.12	3.11	12.51	9.55	4.99	16.86	10.89	8.62	10.40	-9.98	-8.92	-3.99	8.34	-40.68	-2.20	-1.08	13.83	-41.35	-0.98	1.25	15.83	19.37	20.88	5.85	24.66	3.55	27.35	6.51	?	3.03	36.90	5.78	54.16	3.16	100.00	17.46	?	?	8.33	16.30	42.09	17.63	8.09	67.82	32.18	100.00	0.88	0.80	3.11	0.55	36.27	?	444.48	?	10.06	?	11.05	0.59
2013-12-01	100.00	21.76	78.24	66.04	?	4.53	7.67	-1.37	6.30	28.05	4.88	0.64	3.14	3.61	10.52	8.03	4.44	18.38	12.53	10.19	7.39	-15.21	-20.62	?	4.16	-16.89	-17.95	?	7.65	-16.50	-16.99	?	9.73	-37.93	-54.26	6.47	9.53	1.95	17.40	8.77	?	2.50	28.67	6.21	61.69	3.42	100.00	16.87	?	0.80	6.94	17.96	42.57	16.14	13.57	72.28	27.72	100.00	0.67	0.61	3.61	0.58	41.17	?	447.03	?	8.87	?	10.72	0.64
2014-12-01	100.00	20.46	79.54	56.83	11.91	1.83	8.98	-0.92	8.06	19.73	6.91	0.69	4.75	5.06	20.26	13.14	5.74	20.80	18.67	14.29	12.08	41.44	2.58	-1.95	7.97	70.97	-5.54	5.85	9.31	79.04	-4.29	7.74	?	79.11	128.45	5.70	18.02	2.61	19.49	8.82	?	4.11	32.42	6.13	58.16	3.29	100.00	17.18	?	0.66	8.35	20.21	46.41	19.36	14.44	80.22	19.78	100.00	0.70	0.61	5.06	0.98	44.11	?	441.97	?	8.27	?	11.15	0.69
2015-12-01	100.00	20.10	79.90	58.73	11.98	2.14	7.05	8.79	15.84	20.77	13.38	0.58	7.75	5.60	40.98	22.95	9.76	11.24	?	?	?	-30.28	?	?	?	?	?	?	?	404.48	?	?	?	?	?	10.48	15.14	1.13	28.59	10.12	?	3.46	42.18	7.33	46.08	4.41	100.00	15.77	?	0.76	6.26	27.65	50.44	20.90	10.82	82.16	17.84	100.00	0.84	0.77	5.60	1.17	61.33	?	520.60	?	5.95	?	8.87	0.58
