Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	100.00	24.97	75.03	15.45	7.29	?	52.28	-1.22	51.06	39.88	18.85	0.66	12.44	1.93	24.05	19.07	46.82	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	14.84	20.52	0.67	59.70	12.47	?	2.94	75.12	19.20	3.21	2.47	100.00	0.97	?	?	4.58	7.46	13.01	8.36	6.32	27.69	72.31	100.00	5.77	5.55	1.93	0.24	68.97	?	21.47	?	5.29	?	3.44	0.66
2011-12-01	100.00	23.17	76.83	19.05	10.46	?	47.32	-1.64	45.68	41.00	18.00	0.80	14.33	1.48	22.91	19.92	41.36	87.99	?	?	?	70.16	?	?	?	65.02	?	?	?	?	?	?	?	121.92	132.84	16.33	25.41	0.94	61.73	8.64	?	2.35	72.72	23.30	2.56	1.42	100.00	1.00	?	?	4.68	8.53	14.20	?	8.42	22.62	77.38	100.00	5.12	4.96	1.48	0.09	45.24	?	19.52	?	8.07	?	3.62	0.80
2012-12-01	100.00	26.80	73.20	35.13	27.49	?	10.57	-0.86	9.71	89.27	0.63	0.47	0.30	1.28	0.40	0.59	10.69	37.13	?	?	?	-69.36	?	?	?	-94.70	?	?	?	-97.67	?	?	?	4.07	-60.02	24.27	7.41	7.11	63.74	7.75	?	3.12	74.60	15.83	9.19	0.38	100.00	0.43	?	?	2.80	3.73	6.97	9.93	5.27	22.17	77.83	100.00	10.71	10.26	1.28	0.17	45.40	?	17.13	?	8.04	?	2.63	0.47
2013-12-01	100.00	23.82	76.18	22.59	17.98	?	35.62	-0.64	34.98	45.53	18.94	0.48	9.04	1.16	10.95	10.08	50.18	54.69	58.58	?	?	421.19	39.54	?	?	2730.19	35.27	?	?	?	?	?	?	161.91	658.62	17.30	36.33	1.91	63.98	6.48	?	2.58	73.04	16.11	9.62	1.23	100.00	0.49	?	?	3.10	2.56	6.15	?	7.40	13.55	86.45	100.00	11.88	11.46	1.16	0.02	42.38	?	14.79	?	8.61	?	2.99	0.48
2014-12-01	100.00	17.27	82.73	21.28	21.39	?	40.06	-0.67	39.39	40.12	23.46	0.43	10.07	1.11	11.34	11.18	214.48	58.36	49.77	?	?	78.10	41.68	?	?	96.00	43.26	?	?	83.33	36.76	?	?	29.25	26.78	14.69	29.09	1.23	27.87	4.18	?	1.97	34.02	9.87	54.52	1.59	100.00	0.44	?	?	2.16	0.95	3.54	?	6.63	10.17	89.83	100.00	9.60	9.04	1.11	?	40.80	?	22.29	?	8.95	?	3.64	0.43
