Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2011-12-01	100.00	47.68	52.32	32.08	3.69	?	16.56	0.01	16.56	36.55	5.86	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0.83	5.67	0.54	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2012-12-01	100.00	56.75	43.25	26.19	6.87	?	10.19	-0.08	10.12	39.37	-15.20	2.13	-32.41	?	?	?	136.74	124.56	?	?	?	38.26	?	?	?	31.08	?	?	?	?	?	?	?	-45.07	?	3.38	-1.79	-0.29	14.79	32.51	24.49	8.81	80.60	9.10	3.43	6.87	100.00	21.79	6.40	2.49	17.45	4.25	52.38	46.06	33.89	132.33	-32.33	100.00	1.54	0.90	?	?	55.65	73.86	65.71	63.80	6.56	4.94	23.44	2.13
2013-12-01	100.00	63.30	36.70	19.21	7.48	?	10.01	-0.75	9.27	33.67	4.45	2.87	12.78	?	?	?	16.17	87.40	?	?	?	84.09	?	?	?	87.77	?	?	?	?	?	?	?	1124.92	?	1.86	8.54	1.39	23.06	27.90	25.47	5.00	81.43	7.30	3.95	7.31	100.00	28.75	13.71	6.25	16.74	2.91	68.37	12.13	20.73	101.22	-1.22	100.00	1.19	0.75	?	?	37.56	50.43	52.70	35.29	9.72	7.24	36.14	2.87
2014-12-01	100.00	55.01	44.99	20.68	10.89	?	13.42	-0.43	12.98	29.22	8.00	2.05	16.44	1.43	35.10	29.78	?	41.44	81.23	?	?	89.49	68.96	?	?	111.44	73.30	?	?	95.74	?	?	?	-5.42	-17.50	1.97	4.98	0.54	46.01	20.05	16.68	6.95	89.69	4.53	2.29	3.49	100.00	13.76	?	0.30	12.08	2.06	28.20	?	1.93	30.13	69.87	100.00	3.18	2.34	1.43	?	40.14	63.06	60.12	43.08	9.09	5.79	37.85	2.05
2015-12-01	100.00	53.68	46.32	19.68	11.57	?	15.06	-0.30	14.76	24.69	10.15	2.26	22.90	1.42	41.47	41.47	?	71.67	?	?	?	-376.84	?	?	?	?	?	?	?	-200.00	?	?	?	?	?	2.13	10.97	0.99	46.51	10.67	19.73	7.25	84.16	4.70	7.06	4.08	100.00	14.08	?	0.42	12.01	1.20	27.70	?	1.86	29.56	70.44	100.00	3.04	2.06	1.42	?	18.04	60.03	42.35	35.73	20.23	6.08	37.22	2.26
