Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	40.64	59.36	14.65	13.25	0.32	31.14	1.34	32.48	31.29	22.31	0.81	17.96	1.34	23.18	21.21	?	13.50	13.20	2.86	9.13	19.35	40.25	3.07	8.70	15.27	40.60	-3.84	9.28	20.69	44.92	-1.50	10.76	12.99	-2.92	14.98	23.19	1.04	26.44	8.10	6.47	2.86	43.87	35.42	8.02	12.70	100.00	4.65	0.65	?	8.44	5.36	19.11	4.36	1.64	25.11	74.89	100.00	2.30	1.81	1.34	0.06	32.49	66.48	48.49	50.48	11.23	5.49	2.36	0.81
2006-12-01	100.00	48.51	51.49	17.23	16.60	1.69	15.97	4.00	19.98	28.64	14.26	0.73	10.43	1.32	13.83	11.91	?	-8.87	5.49	5.92	5.43	-53.25	-9.13	20.16	-2.86	-41.78	-3.66	31.33	-0.22	-38.57	0.39	35.25	1.70	-28.35	-46.24	16.33	13.68	0.96	20.68	5.60	8.92	2.59	37.79	36.39	7.98	17.83	100.00	4.66	0.37	?	7.61	4.95	17.60	3.82	2.59	24.02	75.98	100.00	2.15	1.49	1.32	0.05	34.16	79.11	47.90	65.37	10.68	4.61	2.04	0.73
2007-12-01	100.00	48.08	51.92	14.09	15.01	1.39	21.43	2.48	23.91	23.89	18.20	0.74	13.41	1.30	17.55	15.24	?	8.34	3.87	7.45	4.34	45.36	-6.74	13.40	-1.83	38.30	-2.45	17.48	0.04	37.21	0.57	20.73	2.01	18.88	57.51	13.04	19.89	1.09	23.00	4.63	6.06	9.24	42.92	30.40	7.04	19.64	100.00	4.24	0.26	?	9.17	1.73	15.40	3.56	4.20	23.16	76.84	100.00	2.79	1.79	1.30	0.05	25.16	76.09	45.72	55.53	14.51	4.80	2.22	0.74
2008-12-01	100.00	44.54	55.46	14.52	15.22	1.89	23.82	-3.37	20.45	31.15	14.08	0.71	9.95	1.30	12.93	11.38	961.75	-1.95	-1.08	4.51	3.65	8.98	-9.52	3.52	0.67	-24.14	-15.15	-1.27	-1.36	-22.03	-13.06	1.60	0.62	-13.46	-24.87	13.83	15.24	1.08	17.12	3.38	7.38	11.31	39.18	34.59	7.75	18.47	100.00	4.71	0.20	?	9.59	0.91	15.42	3.72	3.79	22.93	77.07	100.00	2.54	1.33	1.30	0.05	20.82	77.55	51.79	46.58	17.53	4.71	2.18	0.71
2009-12-01	100.00	44.31	55.69	22.58	16.09	0.76	16.26	-0.02	16.24	23.40	12.44	0.68	8.42	1.27	10.82	9.98	?	-6.54	-0.24	0.53	1.80	-36.22	0.35	-10.83	-5.22	-17.44	-4.68	-10.28	-5.02	-16.30	-3.62	-7.87	-3.10	2.23	16.16	12.85	18.95	1.52	17.46	4.28	5.53	12.58	39.85	32.44	8.33	19.38	100.00	3.55	0.32	0.16	9.15	1.12	14.30	3.86	3.30	21.45	78.55	100.00	2.79	1.52	1.27	0.05	20.70	78.31	50.10	48.91	17.63	4.66	2.02	0.68
2010-12-01	100.00	34.69	65.31	14.46	15.07	0.04	35.73	1.05	36.78	28.55	26.28	0.75	19.72	1.28	25.16	23.84	?	24.19	4.40	2.36	2.61	172.95	23.80	5.21	4.14	162.39	18.01	5.76	0.85	161.04	19.43	7.50	2.90	49.44	72.58	11.94	26.33	1.00	34.64	4.54	5.95	4.91	50.03	28.33	7.17	14.47	100.00	3.62	0.06	?	10.09	0.98	14.76	3.29	3.72	21.77	78.23	100.00	3.39	2.65	1.28	0.04	21.50	80.71	50.33	51.88	16.97	4.52	2.48	0.75
2011-12-01	100.00	37.49	62.51	14.20	15.46	0.48	32.37	0.56	32.93	27.21	23.97	0.80	19.27	1.55	27.15	24.62	434.68	23.79	12.84	8.82	7.36	12.12	24.97	25.33	22.72	12.89	34.73	20.74	25.92	18.91	37.47	22.68	28.81	25.59	-11.20	19.93	18.89	0.79	20.86	5.13	5.76	4.62	36.38	33.22	21.82	8.58	100.00	4.16	0.35	?	9.70	2.71	16.91	9.96	8.57	35.44	64.56	100.00	2.15	1.54	1.55	0.15	22.03	70.80	47.30	45.53	16.57	5.16	2.60	0.80
2012-12-01	100.00	37.85	62.15	15.10	19.02	0.58	27.44	0.44	27.88	26.01	20.63	0.69	14.16	1.65	22.66	18.66	166.26	-1.22	14.94	6.83	7.14	-16.24	36.85	12.24	12.82	-14.97	36.06	9.55	13.45	-10.88	40.38	12.54	16.56	-9.92	-22.96	20.67	14.73	0.71	21.53	4.54	5.61	5.49	37.18	33.17	18.90	10.75	100.00	3.58	0.37	?	9.05	2.29	15.29	15.57	8.43	39.30	60.70	100.00	2.43	1.71	1.65	0.26	25.60	79.82	54.04	51.37	14.26	4.57	2.07	0.69
2013-12-01	100.00	40.20	59.80	15.34	20.13	1.01	23.32	0.61	23.93	23.72	18.25	0.60	10.89	1.59	17.58	14.27	52.68	-1.19	6.51	7.00	5.75	-16.03	-7.62	6.54	5.02	-12.59	-5.68	12.70	5.48	-11.27	-2.03	15.49	8.32	10.02	27.64	20.39	19.03	1.04	12.61	3.88	4.52	13.73	34.74	34.03	16.96	14.27	100.00	3.21	0.30	?	8.90	2.27	14.69	14.25	7.98	36.92	63.08	100.00	2.36	1.12	1.59	0.23	25.67	76.71	51.61	50.77	14.22	4.76	1.77	0.60
2014-12-01	100.00	36.26	63.74	14.56	20.65	1.05	27.47	0.81	28.28	25.93	20.95	0.61	12.70	1.65	20.51	16.57	?	6.00	1.14	9.73	5.03	24.86	-4.24	21.86	4.24	21.66	-3.30	21.78	4.53	22.22	-1.13	24.57	7.13	-1.72	1.91	18.25	18.29	0.87	15.28	4.81	4.65	5.41	30.16	36.15	16.65	17.05	100.00	2.99	1.74	?	10.29	2.40	17.42	13.17	8.66	39.25	60.75	100.00	1.73	1.15	1.65	0.22	26.16	76.07	51.50	50.73	13.95	4.80	1.73	0.61
2015-12-01	100.00	36.55	63.45	14.35	21.56	1.28	26.25	0.65	26.90	21.45	21.13	0.61	12.81	1.57	19.97	16.29	?	-4.60	?	?	?	-24.66	?	?	?	?	?	?	?	?	?	?	?	?	?	15.33	19.63	0.93	15.33	4.27	5.32	4.60	29.52	36.12	16.87	17.50	100.00	2.61	1.24	?	8.81	2.30	14.95	13.39	7.90	36.24	63.76	100.00	1.97	1.31	1.57	0.21	24.27	79.18	48.07	55.38	15.04	4.61	1.68	0.61
