Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-06-01	100.00	49.14	50.86	10.97	12.92	0.95	26.02	0.54	26.56	25.00	19.92	1.14	22.61	1.36	31.86	30.37	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.52	26.83	1.35	55.86	16.01	7.60	6.46	85.92	2.84	?	11.24	100.00	4.16	?	?	15.82	6.19	26.17	0.19	?	26.36	73.64	100.00	3.28	2.75	1.36	?	58.00	53.96	37.97	73.99	6.29	6.76	35.98	1.14
2006-06-01	100.00	49.62	50.38	11.71	13.94	?	24.74	2.13	26.87	23.91	20.45	0.87	17.85	1.66	27.26	21.82	?	9.30	29.55	1.56	2.73	3.90	?	16.85	6.67	12.16	?	45.15	9.06	11.43	?	43.10	4.16	-15.32	-20.96	2.56	19.40	0.95	45.40	17.61	7.29	3.46	73.76	2.16	?	24.08	100.00	4.69	?	?	13.73	6.06	24.48	15.13	0.04	39.65	60.35	100.00	3.01	2.57	1.66	0.25	71.05	62.44	37.79	95.70	5.14	5.85	36.10	0.87
2007-06-01	100.00	49.15	50.85	9.39	11.12	?	30.34	2.69	33.03	19.10	26.72	1.16	31.07	1.79	53.32	40.49	?	56.29	39.97	22.17	9.86	91.66	94.28	?	?	104.26	102.18	?	?	107.27	101.82	?	?	128.33	139.67	2.34	29.75	1.11	31.91	19.51	11.20	4.77	67.39	5.41	6.22	20.98	100.00	5.60	?	?	7.47	18.94	32.01	11.90	0.12	44.03	55.97	100.00	2.11	1.61	1.79	0.21	58.12	58.47	32.71	83.87	6.28	6.24	31.37	1.16
2008-06-01	100.00	52.59	47.41	11.64	13.08	2.11	20.58	2.73	23.31	23.85	17.75	1.01	17.90	1.58	29.74	23.16	?	-3.57	18.10	26.79	8.93	-34.58	9.22	?	?	-35.94	13.64	?	?	-28.45	18.22	?	?	-28.32	-32.75	3.10	20.75	1.17	37.72	14.69	10.05	5.86	68.32	8.40	14.36	8.91	100.00	3.18	1.08	?	13.90	4.57	22.72	9.84	4.07	36.63	63.37	100.00	3.01	2.31	1.58	0.16	60.64	72.59	28.99	104.23	6.02	5.03	14.16	1.01
2009-06-01	100.00	65.17	34.83	21.30	25.83	12.90	-25.20	1.63	-23.58	?	-27.08	0.47	-12.70	1.34	-18.70	-17.70	-39.49	-54.91	-12.08	3.58	5.59	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3.97	-10.97	0.41	29.68	12.99	11.96	6.63	61.27	11.05	13.36	14.32	100.00	2.54	?	?	12.30	2.62	17.46	?	8.10	25.55	74.45	100.00	3.51	2.44	1.34	0.03	108.91	129.40	34.82	203.48	3.35	2.82	4.94	0.47
2010-06-01	100.00	54.54	45.46	9.48	15.04	1.00	19.94	0.22	20.16	19.41	16.25	0.96	15.62	1.41	21.52	20.70	433.74	91.21	-5.97	7.27	5.66	?	-18.25	1.70	6.35	?	-20.34	2.98	5.41	?	-17.64	5.23	5.88	?	?	1.67	14.77	0.91	33.23	20.10	12.80	4.50	70.62	8.05	9.52	11.80	100.00	4.87	?	?	12.44	5.15	22.46	?	6.46	28.92	71.08	100.00	3.14	2.37	1.41	0.01	64.44	86.54	26.77	124.22	5.66	4.22	10.26	0.96
2011-06-01	100.00	53.76	46.24	9.52	11.53	0.36	24.84	-0.11	24.74	9.63	22.35	0.99	22.12	1.64	34.16	28.56	149.86	51.74	9.37	14.54	7.86	89.06	16.44	14.64	15.74	108.77	18.10	16.60	30.10	113.65	18.61	19.87	30.97	151.21	139.12	3.94	23.27	1.04	52.31	14.56	9.77	4.13	80.76	6.67	5.34	7.23	100.00	4.03	?	1.26	7.58	3.99	16.87	?	22.26	39.13	60.87	100.00	4.79	3.96	1.64	0.30	61.47	74.98	29.85	106.60	5.94	4.87	13.75	0.99
2012-06-01	100.00	59.32	40.68	15.01	16.68	0.06	8.92	-1.25	7.67	17.46	6.33	0.44	2.80	1.56	4.44	3.97	6.25	-17.68	33.67	0.76	10.95	-70.44	?	-21.12	?	-76.69	?	-24.46	?	-76.68	?	-22.57	?	-43.36	-48.01	4.02	14.70	2.32	35.76	9.57	7.91	1.92	55.16	7.30	33.56	3.98	100.00	3.23	?	0.31	4.22	10.06	17.83	?	18.06	35.89	64.11	100.00	3.09	2.54	1.56	0.15	92.88	118.82	48.75	162.96	3.93	3.07	6.23	0.44
2013-06-01	100.00	61.01	38.99	16.66	19.00	0.05	3.28	-1.43	1.85	?	3.16	0.47	1.49	1.62	2.37	2.35	2.10	35.03	19.03	7.78	16.90	-50.33	-34.77	-25.35	?	-32.51	-31.00	-23.66	?	-51.11	-37.55	-28.25	?	44.27	42.73	4.47	15.54	4.91	34.44	8.31	7.71	1.86	52.33	8.33	34.85	4.50	100.00	2.76	?	0.54	5.86	10.20	19.37	?	18.72	38.09	61.91	100.00	2.70	2.21	1.62	0.18	69.39	99.08	38.15	130.33	5.26	3.68	6.06	0.47
2014-06-01	100.00	56.43	43.57	13.31	15.55	?	14.71	0.99	15.70	12.59	13.72	0.60	8.30	1.59	13.29	11.11	12.73	28.02	12.48	32.79	17.28	473.95	-5.55	?	20.36	455.23	-4.40	?	22.52	448.48	-14.49	?	19.89	-0.40	2.22	3.16	12.41	0.90	38.35	10.02	9.26	2.21	59.85	6.80	29.53	3.83	100.00	2.80	?	1.18	6.02	9.80	19.79	?	17.28	37.08	62.92	100.00	3.02	2.44	1.59	0.16	55.58	91.24	29.75	117.08	6.57	4.00	8.03	0.60
