Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-06-01	100.00	17.28	82.72	30.66	14.87	?	37.20	4.04	41.24	31.01	28.45	0.63	17.95	1.74	28.56	28.56	?	11.29	11.22	11.85	17.71	13.12	7.61	7.04	18.26	2.82	8.03	11.39	19.09	7.14	9.26	12.70	18.80	-13.26	-18.79	3.56	28.96	1.02	49.08	13.39	2.12	5.83	70.42	4.37	6.33	18.88	100.00	4.18	?	?	2.78	25.28	32.25	?	10.13	42.38	57.62	100.00	2.18	1.94	1.74	?	67.99	46.97	119.16	-4.20	5.37	7.77	16.43	0.63
2007-06-01	100.00	20.92	79.08	28.92	13.93	?	36.23	3.08	39.32	30.03	27.51	0.77	21.19	2.03	39.51	36.92	?	15.45	11.54	12.50	16.23	12.46	27.04	9.24	13.70	11.64	19.86	12.43	15.08	18.33	23.71	15.03	15.76	23.55	21.10	4.43	30.38	1.10	37.06	17.95	1.78	6.79	63.59	6.89	8.92	20.60	100.00	5.14	?	?	3.68	28.78	37.60	?	13.17	50.77	49.23	100.00	1.69	1.46	2.03	?	73.73	44.46	105.07	13.13	4.95	8.21	13.83	0.77
2008-06-01	100.00	19.20	80.80	30.07	13.51	?	37.23	2.19	39.41	25.75	29.26	0.89	26.01	2.01	52.48	50.52	?	18.19	14.94	13.42	15.35	21.42	15.60	11.22	12.48	25.71	13.00	12.09	14.69	31.69	18.63	15.24	16.18	21.44	18.66	5.27	30.50	1.04	32.51	18.67	1.35	6.88	59.40	8.58	19.34	12.68	100.00	5.54	?	?	4.03	31.48	41.06	?	9.10	50.15	49.85	100.00	1.45	1.25	2.01	?	75.29	33.23	114.57	-6.04	4.85	10.98	11.41	0.89
2009-06-01	100.00	20.80	79.20	28.94	15.42	?	34.85	-0.93	33.92	26.50	24.93	0.78	19.34	1.97	38.42	33.36	?	-3.28	9.69	9.67	11.46	-9.47	7.32	17.65	7.32	-17.60	4.96	12.27	6.47	-13.37	10.52	16.65	8.60	-11.91	-13.63	5.34	27.24	1.09	40.37	14.37	0.92	7.61	63.27	9.67	18.31	8.74	100.00	4.27	2.57	0.93	4.05	22.89	34.71	4.81	9.69	49.21	50.79	100.00	1.82	1.58	1.97	0.09	77.39	25.55	110.48	-7.53	4.72	14.28	8.48	0.78
2010-06-01	100.00	19.84	80.16	27.65	13.95	?	38.57	1.46	40.03	25.00	30.02	0.76	22.88	1.86	43.76	37.45	166.65	6.93	6.92	9.45	10.53	18.34	9.16	10.60	8.13	28.77	10.08	8.89	7.13	29.63	13.93	13.40	9.47	26.45	38.81	3.16	35.36	1.18	42.72	15.11	0.86	5.96	64.65	8.86	15.74	10.75	100.00	4.67	1.16	1.25	3.81	19.47	30.36	5.74	10.28	46.38	53.62	100.00	2.13	1.90	1.86	0.11	70.70	21.45	108.20	-16.05	5.16	17.01	8.24	0.76
2011-06-01	100.00	22.27	77.73	25.97	12.93	?	38.83	1.30	40.13	17.53	33.10	0.72	23.77	1.90	44.84	37.40	96.16	11.94	5.00	9.57	10.71	12.71	6.49	10.52	8.77	23.40	9.40	12.94	12.16	28.10	12.89	17.52	15.09	12.13	11.51	3.37	35.23	1.06	48.55	13.79	1.26	5.32	68.92	7.51	12.26	11.31	100.00	3.86	?	0.53	3.29	18.79	26.47	10.97	10.05	47.49	52.51	100.00	2.60	2.35	1.90	0.21	73.06	24.74	96.33	1.48	5.00	14.75	8.86	0.72
2012-06-01	100.00	23.78	76.22	24.99	13.31	8.40	29.52	0.68	30.20	23.75	23.03	0.64	14.77	1.83	27.51	22.62	59.60	5.40	8.05	7.60	10.02	-19.87	2.24	3.28	6.21	-26.66	5.23	3.84	8.05	-25.65	7.28	7.09	10.99	17.16	19.00	3.13	39.77	1.73	51.98	13.01	0.94	4.23	70.16	6.82	13.71	9.31	100.00	3.44	1.02	0.65	3.20	18.65	26.95	8.83	9.49	45.28	54.72	100.00	2.60	2.41	1.83	0.16	76.16	26.12	87.16	15.13	4.79	13.97	8.97	0.64
2013-06-01	100.00	26.01	73.99	26.24	13.37	?	34.38	0.37	34.75	19.18	28.08	0.59	16.58	1.80	30.09	25.07	64.06	5.60	7.60	5.20	9.23	22.98	3.56	3.54	7.31	28.77	5.23	4.34	8.14	29.00	7.10	6.65	10.86	-8.83	-16.18	5.47	31.57	1.12	54.08	12.28	1.36	3.52	71.24	7.01	12.45	9.29	100.00	3.39	2.11	0.42	2.89	17.47	26.27	8.85	9.46	44.57	55.43	100.00	2.71	2.53	1.80	0.16	77.98	27.71	81.14	24.56	4.68	13.17	8.53	0.59
2014-06-01	100.00	31.02	68.98	23.76	13.11	0.15	31.97	0.07	32.04	20.65	25.42	0.55	14.02	1.92	26.17	21.11	47.60	11.54	7.48	8.24	8.95	3.72	0.73	6.39	11.88	0.97	-1.57	8.67	10.45	1.94	-0.75	10.18	13.37	11.79	8.83	6.32	30.80	1.21	49.72	11.34	1.54	3.67	66.27	7.55	15.73	10.45	100.00	4.31	1.16	0.45	2.78	17.76	26.47	11.98	9.47	47.92	52.08	100.00	2.50	2.31	1.92	0.23	77.83	31.16	83.07	25.91	4.69	11.72	7.55	0.55
2015-06-01	100.00	35.30	64.70	21.72	12.87	10.70	19.41	0.37	19.78	34.12	13.03	0.54	7.00	2.20	14.36	10.71	24.70	7.77	8.27	8.41	8.93	-34.58	-5.85	-5.50	2.23	-44.76	-10.45	-8.26	-0.05	-43.73	-9.55	-6.76	2.83	-9.78	-13.50	6.35	24.72	1.90	54.77	10.16	1.65	4.19	70.77	8.36	12.36	8.52	100.00	3.74	4.25	0.34	2.89	17.07	28.29	15.78	10.48	54.56	45.44	100.00	2.50	2.30	2.20	0.35	73.04	30.72	77.46	26.30	5.00	11.88	6.75	0.54
